source,target,relation,relation_id
369,3614,HAS_EXPENDITURE,3
271,3573,HAS_PURPOSE,1
235,3608,HAS_EXPENDITURE,3
413,3581,IN_YEAR,2
349,3615,HAS_EXPENDITURE,3
269,64,TO_DESTINATION,0
226,108,TO_DESTINATION,0
258,3614,HAS_EXPENDITURE,3
309,3608,HAS_EXPENDITURE,3
270,3573,HAS_PURPOSE,1
322,3616,HAS_EXPENDITURE,3
239,3607,HAS_EXPENDITURE,3
279,3608,HAS_EXPENDITURE,3
258,3619,HAS_EXPENDITURE,3
394,3620,HAS_EXPENDITURE,3
371,3623,HAS_EXPENDITURE,3
239,3621,HAS_EXPENDITURE,3
381,3617,HAS_EXPENDITURE,3
328,3619,HAS_EXPENDITURE,3
275,3581,IN_YEAR,2
259,3610,HAS_EXPENDITURE,3
244,3573,HAS_PURPOSE,1
323,3623,HAS_EXPENDITURE,3
346,3621,HAS_EXPENDITURE,3
233,3618,HAS_EXPENDITURE,3
390,3576,HAS_PURPOSE,1
386,3611,HAS_EXPENDITURE,3
383,3618,HAS_EXPENDITURE,3
229,3616,HAS_EXPENDITURE,3
308,3608,HAS_EXPENDITURE,3
418,3611,HAS_EXPENDITURE,3
389,97,TO_DESTINATION,0
290,3622,HAS_EXPENDITURE,3
412,3617,HAS_EXPENDITURE,3
284,3612,HAS_EXPENDITURE,3
270,3606,HAS_EXPENDITURE,3
304,3615,HAS_EXPENDITURE,3
226,3620,HAS_EXPENDITURE,3
284,3611,HAS_EXPENDITURE,3
305,3619,HAS_EXPENDITURE,3
240,64,TO_DESTINATION,0
366,3617,HAS_EXPENDITURE,3
323,3614,HAS_EXPENDITURE,3
311,3607,HAS_EXPENDITURE,3
415,3610,HAS_EXPENDITURE,3
323,3621,HAS_EXPENDITURE,3
338,3615,HAS_EXPENDITURE,3
232,3619,HAS_EXPENDITURE,3
332,40,TO_DESTINATION,0
261,3617,HAS_EXPENDITURE,3
396,3613,HAS_EXPENDITURE,3
423,3621,HAS_EXPENDITURE,3
238,3615,HAS_EXPENDITURE,3
414,122,TO_DESTINATION,0
395,3581,IN_YEAR,2
430,3616,HAS_EXPENDITURE,3
326,3615,HAS_EXPENDITURE,3
430,3614,HAS_EXPENDITURE,3
229,3612,HAS_EXPENDITURE,3
267,3621,HAS_EXPENDITURE,3
292,88,TO_DESTINATION,0
370,3612,HAS_EXPENDITURE,3
333,99,TO_DESTINATION,0
403,3618,HAS_EXPENDITURE,3
343,3612,HAS_EXPENDITURE,3
291,3613,HAS_EXPENDITURE,3
345,53,TO_DESTINATION,0
333,3620,HAS_EXPENDITURE,3
323,3611,HAS_EXPENDITURE,3
311,3617,HAS_EXPENDITURE,3
362,3610,HAS_EXPENDITURE,3
322,3617,HAS_EXPENDITURE,3
361,3609,HAS_EXPENDITURE,3
395,74,TO_DESTINATION,0
272,3573,HAS_PURPOSE,1
388,3609,HAS_EXPENDITURE,3
438,3623,HAS_EXPENDITURE,3
419,3607,HAS_EXPENDITURE,3
309,3611,HAS_EXPENDITURE,3
299,3621,HAS_EXPENDITURE,3
426,3615,HAS_EXPENDITURE,3
286,3609,HAS_EXPENDITURE,3
275,70,TO_DESTINATION,0
417,3616,HAS_EXPENDITURE,3
312,3620,HAS_EXPENDITURE,3
323,3607,HAS_EXPENDITURE,3
433,112,TO_DESTINATION,0
317,3617,HAS_EXPENDITURE,3
420,3609,HAS_EXPENDITURE,3
356,3607,HAS_EXPENDITURE,3
265,3611,HAS_EXPENDITURE,3
393,72,TO_DESTINATION,0
257,3621,HAS_EXPENDITURE,3
249,3622,HAS_EXPENDITURE,3
352,120,TO_DESTINATION,0
291,3620,HAS_EXPENDITURE,3
369,3606,HAS_EXPENDITURE,3
214,3620,HAS_EXPENDITURE,3
234,58,TO_DESTINATION,0
255,3608,HAS_EXPENDITURE,3
401,3616,HAS_EXPENDITURE,3
268,3573,HAS_PURPOSE,1
271,3616,HAS_EXPENDITURE,3
322,3609,HAS_EXPENDITURE,3
214,3621,HAS_EXPENDITURE,3
257,3623,HAS_EXPENDITURE,3
360,3609,HAS_EXPENDITURE,3
258,3609,HAS_EXPENDITURE,3
393,3611,HAS_EXPENDITURE,3
401,3576,HAS_PURPOSE,1
278,3611,HAS_EXPENDITURE,3
366,3620,HAS_EXPENDITURE,3
285,51,TO_DESTINATION,0
214,3623,HAS_EXPENDITURE,3
281,3616,HAS_EXPENDITURE,3
392,3613,HAS_EXPENDITURE,3
221,3573,HAS_PURPOSE,1
275,3611,HAS_EXPENDITURE,3
341,3615,HAS_EXPENDITURE,3
380,3607,HAS_EXPENDITURE,3
432,3606,HAS_EXPENDITURE,3
398,3581,IN_YEAR,2
336,3621,HAS_EXPENDITURE,3
430,3608,HAS_EXPENDITURE,3
399,107,TO_DESTINATION,0
288,3615,HAS_EXPENDITURE,3
272,3609,HAS_EXPENDITURE,3
276,3616,HAS_EXPENDITURE,3
302,97,TO_DESTINATION,0
239,3615,HAS_EXPENDITURE,3
407,3623,HAS_EXPENDITURE,3
358,3617,HAS_EXPENDITURE,3
306,3617,HAS_EXPENDITURE,3
254,3607,HAS_EXPENDITURE,3
395,3621,HAS_EXPENDITURE,3
249,3573,HAS_PURPOSE,1
220,3617,HAS_EXPENDITURE,3
213,95,TO_DESTINATION,0
317,3606,HAS_EXPENDITURE,3
361,3607,HAS_EXPENDITURE,3
310,3610,HAS_EXPENDITURE,3
252,3610,HAS_EXPENDITURE,3
339,3610,HAS_EXPENDITURE,3
326,3609,HAS_EXPENDITURE,3
381,3606,HAS_EXPENDITURE,3
286,3614,HAS_EXPENDITURE,3
294,3619,HAS_EXPENDITURE,3
301,67,TO_DESTINATION,0
261,3606,HAS_EXPENDITURE,3
430,3617,HAS_EXPENDITURE,3
284,3608,HAS_EXPENDITURE,3
339,3609,HAS_EXPENDITURE,3
383,3621,HAS_EXPENDITURE,3
426,3610,HAS_EXPENDITURE,3
215,3614,HAS_EXPENDITURE,3
295,3616,HAS_EXPENDITURE,3
300,3623,HAS_EXPENDITURE,3
319,3609,HAS_EXPENDITURE,3
330,3618,HAS_EXPENDITURE,3
342,3607,HAS_EXPENDITURE,3
401,3621,HAS_EXPENDITURE,3
403,3616,HAS_EXPENDITURE,3
251,3608,HAS_EXPENDITURE,3
431,3614,HAS_EXPENDITURE,3
359,3615,HAS_EXPENDITURE,3
369,3620,HAS_EXPENDITURE,3
277,72,TO_DESTINATION,0
377,3581,IN_YEAR,2
438,88,TO_DESTINATION,0
253,3622,HAS_EXPENDITURE,3
388,3621,HAS_EXPENDITURE,3
287,82,TO_DESTINATION,0
286,3612,HAS_EXPENDITURE,3
248,3618,HAS_EXPENDITURE,3
333,3610,HAS_EXPENDITURE,3
428,3608,HAS_EXPENDITURE,3
317,3619,HAS_EXPENDITURE,3
298,3622,HAS_EXPENDITURE,3
263,87,TO_DESTINATION,0
213,3611,HAS_EXPENDITURE,3
379,3608,HAS_EXPENDITURE,3
274,40,TO_DESTINATION,0
369,3609,HAS_EXPENDITURE,3
280,3616,HAS_EXPENDITURE,3
250,3610,HAS_EXPENDITURE,3
409,3620,HAS_EXPENDITURE,3
397,3609,HAS_EXPENDITURE,3
387,3576,HAS_PURPOSE,1
310,3609,HAS_EXPENDITURE,3
408,3615,HAS_EXPENDITURE,3
441,3616,HAS_EXPENDITURE,3
315,3623,HAS_EXPENDITURE,3
361,72,TO_DESTINATION,0
257,3612,HAS_EXPENDITURE,3
370,3611,HAS_EXPENDITURE,3
386,3606,HAS_EXPENDITURE,3
231,3615,HAS_EXPENDITURE,3
334,3611,HAS_EXPENDITURE,3
436,3623,HAS_EXPENDITURE,3
351,90,TO_DESTINATION,0
245,3614,HAS_EXPENDITURE,3
233,86,TO_DESTINATION,0
226,3618,HAS_EXPENDITURE,3
437,3616,HAS_EXPENDITURE,3
219,3623,HAS_EXPENDITURE,3
415,3618,HAS_EXPENDITURE,3
306,3620,HAS_EXPENDITURE,3
410,3620,HAS_EXPENDITURE,3
266,3616,HAS_EXPENDITURE,3
374,3610,HAS_EXPENDITURE,3
307,3617,HAS_EXPENDITURE,3
334,100,TO_DESTINATION,0
414,3623,HAS_EXPENDITURE,3
228,3619,HAS_EXPENDITURE,3
392,3609,HAS_EXPENDITURE,3
427,77,TO_DESTINATION,0
350,89,TO_DESTINATION,0
225,3611,HAS_EXPENDITURE,3
324,3613,HAS_EXPENDITURE,3
271,37,TO_DESTINATION,0
294,3614,HAS_EXPENDITURE,3
374,3621,HAS_EXPENDITURE,3
225,3620,HAS_EXPENDITURE,3
245,98,TO_DESTINATION,0
247,3614,HAS_EXPENDITURE,3
224,3613,HAS_EXPENDITURE,3
227,3620,HAS_EXPENDITURE,3
235,59,TO_DESTINATION,0
306,3619,HAS_EXPENDITURE,3
257,3606,HAS_EXPENDITURE,3
389,3609,HAS_EXPENDITURE,3
250,3620,HAS_EXPENDITURE,3
422,3608,HAS_EXPENDITURE,3
301,96,TO_DESTINATION,0
425,3618,HAS_EXPENDITURE,3
373,3620,HAS_EXPENDITURE,3
272,3619,HAS_EXPENDITURE,3
399,3608,HAS_EXPENDITURE,3
296,63,TO_DESTINATION,0
248,72,TO_DESTINATION,0
224,3619,HAS_EXPENDITURE,3
326,3575,HAS_PURPOSE,1
238,3573,HAS_PURPOSE,1
362,3615,HAS_EXPENDITURE,3
247,3581,IN_YEAR,2
227,3613,HAS_EXPENDITURE,3
387,3616,HAS_EXPENDITURE,3
348,3616,HAS_EXPENDITURE,3
265,3581,IN_YEAR,2
280,75,TO_DESTINATION,0
440,90,TO_DESTINATION,0
213,3619,HAS_EXPENDITURE,3
362,102,TO_DESTINATION,0
340,3619,HAS_EXPENDITURE,3
373,56,TO_DESTINATION,0
255,3615,HAS_EXPENDITURE,3
352,3612,HAS_EXPENDITURE,3
276,3608,HAS_EXPENDITURE,3
378,3606,HAS_EXPENDITURE,3
330,3606,HAS_EXPENDITURE,3
378,3617,HAS_EXPENDITURE,3
214,3622,HAS_EXPENDITURE,3
229,3620,HAS_EXPENDITURE,3
402,3613,HAS_EXPENDITURE,3
221,3620,HAS_EXPENDITURE,3
352,3616,HAS_EXPENDITURE,3
350,3612,HAS_EXPENDITURE,3
267,3622,HAS_EXPENDITURE,3
344,3613,HAS_EXPENDITURE,3
422,3621,HAS_EXPENDITURE,3
264,3618,HAS_EXPENDITURE,3
316,53,TO_DESTINATION,0
336,102,TO_DESTINATION,0
383,3614,HAS_EXPENDITURE,3
361,3617,HAS_EXPENDITURE,3
267,3610,HAS_EXPENDITURE,3
406,3610,HAS_EXPENDITURE,3
411,3607,HAS_EXPENDITURE,3
241,3573,HAS_PURPOSE,1
439,3614,HAS_EXPENDITURE,3
280,3619,HAS_EXPENDITURE,3
231,3618,HAS_EXPENDITURE,3
353,121,TO_DESTINATION,0
256,3606,HAS_EXPENDITURE,3
324,3608,HAS_EXPENDITURE,3
437,3609,HAS_EXPENDITURE,3
439,3616,HAS_EXPENDITURE,3
334,3620,HAS_EXPENDITURE,3
398,3618,HAS_EXPENDITURE,3
246,3616,HAS_EXPENDITURE,3
251,3610,HAS_EXPENDITURE,3
283,3581,IN_YEAR,2
437,3581,IN_YEAR,2
348,3581,IN_YEAR,2
219,3611,HAS_EXPENDITURE,3
378,3609,HAS_EXPENDITURE,3
241,3621,HAS_EXPENDITURE,3
228,3614,HAS_EXPENDITURE,3
231,3573,HAS_PURPOSE,1
415,3609,HAS_EXPENDITURE,3
439,3610,HAS_EXPENDITURE,3
390,69,TO_DESTINATION,0
296,3614,HAS_EXPENDITURE,3
231,3617,HAS_EXPENDITURE,3
245,3620,HAS_EXPENDITURE,3
261,85,TO_DESTINATION,0
397,3613,HAS_EXPENDITURE,3
368,51,TO_DESTINATION,0
215,3607,HAS_EXPENDITURE,3
285,80,TO_DESTINATION,0
434,3617,HAS_EXPENDITURE,3
380,3620,HAS_EXPENDITURE,3
