source,target,relation,relation_id
268,3606,HAS_EXPENDITURE,3
415,3616,HAS_EXPENDITURE,3
376,3611,HAS_EXPENDITURE,3
440,3581,IN_YEAR,2
311,3612,HAS_EXPENDITURE,3
372,3575,HAS_PURPOSE,1
314,3621,HAS_EXPENDITURE,3
300,3610,HAS_EXPENDITURE,3
281,3611,HAS_EXPENDITURE,3
249,44,TO_DESTINATION,0
250,103,TO_DESTINATION,0
384,3607,HAS_EXPENDITURE,3
395,3609,HAS_EXPENDITURE,3
215,3615,HAS_EXPENDITURE,3
350,60,TO_DESTINATION,0
366,3623,HAS_EXPENDITURE,3
301,3609,HAS_EXPENDITURE,3
384,3608,HAS_EXPENDITURE,3
427,3616,HAS_EXPENDITURE,3
256,3618,HAS_EXPENDITURE,3
291,3610,HAS_EXPENDITURE,3
365,48,TO_DESTINATION,0
312,3619,HAS_EXPENDITURE,3
265,3610,HAS_EXPENDITURE,3
258,3613,HAS_EXPENDITURE,3
330,3611,HAS_EXPENDITURE,3
222,3608,HAS_EXPENDITURE,3
353,3618,HAS_EXPENDITURE,3
362,3620,HAS_EXPENDITURE,3
277,3607,HAS_EXPENDITURE,3
334,3616,HAS_EXPENDITURE,3
248,3615,HAS_EXPENDITURE,3
430,3606,HAS_EXPENDITURE,3
355,3581,IN_YEAR,2
374,3581,IN_YEAR,2
361,3606,HAS_EXPENDITURE,3
226,3611,HAS_EXPENDITURE,3
440,3621,HAS_EXPENDITURE,3
232,3622,HAS_EXPENDITURE,3
418,3610,HAS_EXPENDITURE,3
320,3612,HAS_EXPENDITURE,3
338,3613,HAS_EXPENDITURE,3
309,104,TO_DESTINATION,0
369,3608,HAS_EXPENDITURE,3
246,3609,HAS_EXPENDITURE,3
256,3623,HAS_EXPENDITURE,3
415,3581,IN_YEAR,2
414,3611,HAS_EXPENDITURE,3
317,3581,IN_YEAR,2
258,3615,HAS_EXPENDITURE,3
361,101,TO_DESTINATION,0
294,90,TO_DESTINATION,0
424,3618,HAS_EXPENDITURE,3
228,3606,HAS_EXPENDITURE,3
333,3607,HAS_EXPENDITURE,3
276,3619,HAS_EXPENDITURE,3
292,3610,HAS_EXPENDITURE,3
263,116,TO_DESTINATION,0
329,3581,IN_YEAR,2
228,3621,HAS_EXPENDITURE,3
383,3616,HAS_EXPENDITURE,3
220,73,TO_DESTINATION,0
244,3618,HAS_EXPENDITURE,3
371,3581,IN_YEAR,2
264,59,TO_DESTINATION,0
252,3609,HAS_EXPENDITURE,3
257,3615,HAS_EXPENDITURE,3
431,3608,HAS_EXPENDITURE,3
281,3622,HAS_EXPENDITURE,3
395,3623,HAS_EXPENDITURE,3
314,3615,HAS_EXPENDITURE,3
338,3609,HAS_EXPENDITURE,3
243,3611,HAS_EXPENDITURE,3
259,3581,IN_YEAR,2
215,3623,HAS_EXPENDITURE,3
226,3610,HAS_EXPENDITURE,3
315,3613,HAS_EXPENDITURE,3
430,3610,HAS_EXPENDITURE,3
299,3611,HAS_EXPENDITURE,3
377,3613,HAS_EXPENDITURE,3
437,3606,HAS_EXPENDITURE,3
268,3608,HAS_EXPENDITURE,3
304,3620,HAS_EXPENDITURE,3
214,3581,IN_YEAR,2
437,58,TO_DESTINATION,0
402,3614,HAS_EXPENDITURE,3
405,3616,HAS_EXPENDITURE,3
248,3606,HAS_EXPENDITURE,3
253,3613,HAS_EXPENDITURE,3
431,3623,HAS_EXPENDITURE,3
256,3610,HAS_EXPENDITURE,3
337,103,TO_DESTINATION,0
378,3619,HAS_EXPENDITURE,3
323,3581,IN_YEAR,2
424,103,TO_DESTINATION,0
442,3617,HAS_EXPENDITURE,3
403,3613,HAS_EXPENDITURE,3
423,3623,HAS_EXPENDITURE,3
230,3622,HAS_EXPENDITURE,3
392,3607,HAS_EXPENDITURE,3
414,3615,HAS_EXPENDITURE,3
424,3581,IN_YEAR,2
237,3618,HAS_EXPENDITURE,3
318,3617,HAS_EXPENDITURE,3
