freq,purpose,duration,c_dest,expend,statinfo,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,SI	9.08 	10.12 	12.39 	14.06 	14.59 	14.53 	15.33 	16.83 	29.63 	24.11 	22.80 	14.75 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,SK	14.75 	10.55 b	12.83 	10.96 	11.72 	17.73 	13.75 	17.35 	18.28 	15.50 	20.82 	22.73 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,UK	: @C	31.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,AL	: 	: 	: 	: 	: 	3.70 	: 	6.05 	13.89 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,AT	132.72 	99.24 	91.22 	101.56 	107.65 	108.91 	107.10 	107.97 	100.80 	97.21 	109.30 	130.37 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,BE	71.56 	74.44 	69.55 	68.46 	64.90 	76.40 b	64.06 	71.14 	70.82 	78.77 	81.86 	89.52 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,BG	9.06 b	11.11 	14.61 	13.62 	13.50 	12.25 	12.04 	19.13 	20.78 	28.94 	35.53 	40.95 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,CH	69.91 	83.37 	80.96 	90.49 	93.49 	95.61 	87.78 	97.82 	109.89 	123.62 	132.49 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,CY	36.19 b	21.77 	31.79 	29.12 	25.86 	26.51 	26.37 	28.33 	36.90 	39.77 	42.78 	55.74 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,CZ	3.96 	4.07 	3.87 	5.00 	6.56 	6.53 	8.11 	8.99 	7.55 	7.73 	13.31 	18.12 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,DE	49.08 	55.79 	49.89 	48.65 	51.22 	56.28 	61.42 	61.58 	44.70 	50.89 	78.47 	84.62 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,DK	27.98 	51.99 b	54.60 b	49.50 	61.49 	32.41 	49.42 	71.10 	37.92 	31.42 	42.49 	55.32 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,EA20	29.64 	31.24 	29.52 	31.35 	32.82 	34.35 	36.50 	38.71 	35.77 	37.33 	48.55 	53.10 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,EE	12.61 	11.15 	11.03 	14.91 	16.20 	16.20 	24.39 	27.78 	36.01 	49.62 	49.31 	46.26 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,EL	19.01 	21.63 	21.78 	24.66 	26.33 	26.94 	33.34 	36.04 	27.05 	39.08 	39.82 	47.62 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,ES	16.59 	18.22 	18.33 	18.89 b	18.60 	19.66 	21.61 	24.32 	21.11 	26.25 	31.14 	35.16 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,EU27_2020	27.36 e	29.86 e	27.67 	29.53 	31.25 	32.45 	34.04 	36.94 	32.68 	35.02 	44.90 	49.92 e
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,FI	23.45 b	22.83 	22.03 	21.82 	22.33 	23.42 	24.21 	26.54 	24.75 	23.03 	30.17 	34.43 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,FR	19.05 b	19.34 	20.27 	21.33 	22.96 	26.45 	25.87 	27.13 	27.86 	28.19 	36.53 	39.85 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,HR	12.55 	12.12 	10.89 	10.77 	20.11 	22.61 	22.73 	22.51 	22.12 	37.10 	36.31 	40.34 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,HU	13.57 	15.05 	17.76 	19.65 	22.39 	27.87 	30.79 	34.41 	34.46 	32.59 	44.62 	55.68 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,IE	56.18 	55.76 	57.57 	60.19 	63.76 	67.48 	61.40 	69.08 	78.31 	90.58 	84.72 	87.43 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,IT	47.69 	47.78 	42.60 b	54.15 	55.68 	54.65 	51.75 	63.38 	70.05 	67.92 	80.20 	77.67 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,LT	13.07 	10.39 	14.45 	18.87 	24.02 	27.95 	28.34 	31.01 	32.34 	37.11 	44.52 	47.56 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,LU	27.25 	27.95 	67.19 	91.67 u	55.07 u	36.70 	83.20 	80.02 	96.12 	81.71 	92.92 	94.83 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,LV	2.32 	3.92 	3.77 	3.11 	3.04 	3.39 	5.86 	5.49 	8.59 	13.18 	10.42 	12.10 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,ME	: 	: 	: 	: 	5.54 	7.67 	: 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,MK	: 	: 	: 	: 	: 	: 	: 	14.16 	15.83 	16.00 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,MT	57.44 	35.81 	50.80 b	48.04 	46.97 	49.60 	51.68 	49.21 	49.90 	59.07 	61.08 	57.31 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,NL	23.08 b	24.14 	22.65 	27.75 	31.51 	31.65 	40.01 	35.46 	41.06 	45.83 	58.89 	62.73 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,NO	: 	51.48 	49.21 	47.15 	50.52 	60.79 	32.76 	: 	: 	51.77 	57.99 	53.36 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,PL	25.38 	28.02 	9.02 b	12.26 	13.18 	15.26 	16.01 	17.17 	18.02 	19.95 	23.73 	29.02 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,PT	6.24 	4.47 	7.10 	8.81 	7.57 	8.60 	9.50 	12.32 	14.03 	13.53 	16.00 	17.40 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,RO	7.12 	7.04 	7.84 	9.35 	10.40 	10.35 	13.36 	16.93 	18.44 	23.35 	29.51 	28.04 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,RS	: 	: 	: 	: 	: 	: 	22.02 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,SE	: 	: 	27.23 	32.92 	37.17 	61.57 	45.47 	49.30 	29.03 	40.69 	46.07 	: 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,SI	16.96 	18.47 	22.67 	27.30 	28.32 	26.00 	30.09 	30.95 	61.98 	46.04 	43.30 	26.73 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,SK	30.57 	21.86 b	26.46 	23.27 	24.30 	36.09 	28.40 	37.11 	38.85 	32.02 	42.67 	47.05 
A,PER,N1-3,DOM,ACCOM,AVG_TRP,EUR,UK	: @C	56.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,AL	: 	: 	: 	: 	: 	9047556 	: 	17032224 	25779793 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,AT	766765836 	626709462 	612039244 	645077926 	740867093 	736740538 	788435305 	853946534 	633861209 	649162136 	1038333135 	1200896793 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,BE	106618051 	124368600 	99852048 	153056872 	110228231 	166215803 b	158197496 	197953977 	157215794 	284067231 	271457531 	304671252 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,BG	17580451 b	20854677 	27109893 	19394970 	21548808 	33527859 	28104257 	42183056 	25104393 	48551696 	69894739 	83136602 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,CH	273022037 	371022548 	323255389 	367238633 	358699979 	379407737 	327698238 	392672505 	447762148 	563153322 	565851022 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,CY	38887802 b	19151372 	30610036 	31522581 	28815040 	30937490 	35054749 	38664113 	53315142 	63098689 	57718288 	69779603 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,CZ	73853390 	70037221 	71736551 	81052870 	116064988 	131091033 	149945582 	164501549 	96404183 	111955442 	232369414 	232630741 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,DE	4166943390 	4873320826 	3996783239 	4355530456 	4461709763 	4449804293 	5060103500 	5195800465 	2567844851 	3575917601 	5279910615 	6639989570 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,DK	485303282 	997931261 b	1065344980 b	965114008 	1070002258 	448434278 	325630332 	877369457 	454652090 	274723023 	359264907 	439005569 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,EA20	11007721149 	11341314431 	10517194075 	11312776094 	12051532982 	12966270137 	14070576024 	14886554141 	9225722420 	12500830297 	17570531467 	20209714967 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,EE	17069357 	15454470 	22583832 	32022342 	42092196 	42115937 	89860539 	77576316 	62342463 	88535330 	106410300 	120515816 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,EL	50554622 	29364051 	34763513 	36318394 	35210978 	38970962 	50732469 	46877956 	31450222 	47706049 	65400161 	70354977 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,ES	1385600705 	1495329637 	1469697232 	1661552810 b	1718707272 	1935028297 	2128518730 	2336925199 	1073117044 	1930294009 	2658801348 	3087588316 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,EU27_2020	12892124623 e	13771680063 e	12608352279 	13600705682 	14645041064 	15623445495 	16364002091 	17971307004 	11449354142 	15225480263 	21315470564 	24633235772 e
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,FI	503832812 b	484370465 	442173860 	447319427 	460796328 	496496435 	491082002 	547663043 	365075103 	452629805 	531110401 	530575934 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,FR	1926024104 b	1928468519 	2031301811 	1892693043 	2000879885 	2619015638 	2501807772 	2661101774 	2138627781 	2812074199 	3996706657 	4645621844 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,HR	38006990 	38413879 	31180527 	20014855 	26512957 	27868231 	31405361 	39464835 	27563644 	55806252 	52504335 	68051099 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,HU	141167628 	124650668 	159927616 	180351935 	196736352 	249954202 	266890280 	299904671 	183155338 	196741312 	357215656 	441976307 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,IE	280300474 	278018748 	305213140 	325777227 	360577502 	404022258 	422644863 	497824090 	352408270 	294306638 	702071465 	678499067 
