freq,purpose,c_dest,quant_inc,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,FOR,UNK,N_GE1,NR,FI	44126297 	43102471 	42180695 	42409818 	42334967 	47327664 	47380832 	53999061 	24562527 	15697269 	43482428 	50824647 
A,PER,FOR,UNK,N_GE1,NR,FR	195798952 	205072772 	220610227 	188187740 	188264084 	203642094 	212573956 	215045065 	70523843 	88405571 	173418413 	214238216 
A,PER,FOR,UNK,N_GE1,NR,HR	13230205 	16853207 	12865266 	15430272 	6285651 	9271368 	8654911 	9222135 	3761313 	4830809 	5919789 	9462439 
A,PER,FOR,UNK,N_GE1,NR,HU	20972035 	21795858 	24680600 	26388516 	28044466 	29167464 	31997887 	38148478 	10873133 	13193727 	25898130 	31323141 
A,PER,FOR,UNK,N_GE1,NR,IE	41382590 	40673786 	40554492 	40660382 	43230873 	45201559 	47108846 	52016922 	12050487 	13270409 	47943209 	53471449 
A,PER,FOR,UNK,N_GE1,NR,IT	92758271 	86828118 	79431324 b	78578121 	65582341 	69205268 	93044126 	98721391 	24175319 	35197906 	71889841 	66066509 
A,PER,FOR,UNK,N_GE1,NR,LT	11057591 	11959497 	10350505 	10695557 	10867205 	11050420 	12003876 	12260989 	3555145 	4135575 	10351444 	11678057 
A,PER,FOR,UNK,N_GE1,NR,LU	9828657 	9675281 	10260723 	10123118 	10133127 	14736213 	14278042 	14048025 	10267715 	13309718 	19377148 	19058603 
A,PER,FOR,UNK,N_GE1,NR,LV	6910338 	6426076 	8006680 	6025827 	6581925 	6087460 	6243633 	7298911 	2707098 	3876583 	6869592 	9066497 
A,PER,FOR,UNK,N_GE1,NR,ME	: 	: 	: 	: 	4410418 	2970418 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	2496029 	611088 	1656661 	: 	: 
A,PER,FOR,UNK,N_GE1,NR,MT	1925212 	2186293 	2106167 b	2094275 	2368557 	2802551 	3313943 	3329912 	1024310 	1640487 	3050057 	3894012 
A,PER,FOR,UNK,N_GE1,NR,NL	167031525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE1,NR,NO	: 	47158718 	60041150 	54950530 	52894088 	56892777 	51449539 	: 	: 	16096442 	51489991 	48765656 
A,PER,FOR,UNK,N_GE1,NR,PL	65778608 	72280049 	96718656 b	91940227 	97619379 	109945436 	111174384 	123095745 	56012076 	63339202 	109822972 	112309739 
A,PER,FOR,UNK,N_GE1,NR,PT	7797407 	10804834 	9206108 	9505275 	8707106 	12108991 	12587528 	15732991 	4194415 	6063194 	13856295 	16214348 
A,PER,FOR,UNK,N_GE1,NR,RO	8514633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	5753533 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE1,NR,SE	: 	: 	65217337 	56966024 	70082742 	161098847 	128389747 	117071555 	33132134 	42215981 	109207959 	: 
A,PER,FOR,UNK,N_GE1,NR,SI	12160470 	12409445 	12279551 	14463022 	14869864 	14383915 	15524986 	14888851 	6953208 	11626734 	16680105 	20354482 
A,PER,FOR,UNK,N_GE1,NR,SK	18840811 	13997790 b	12435438 	16859354 	16193276 	19346846 	24113617 	27508312 	4531664 	8353023 	16610290 	23099436 
A,PER,FOR,UNK,N_GE1,NR,UK	507419923 	524519146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,AL	: 	: 	: 	: 	: 	10460264 	: 	10586098 	2470798 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,AT	52869956 	51424533 	53975891 	53630173 	56935242 	59571672 	54418223 	58927470 	18248997 	39822170 	71391782 	83787125 
A,PER,FOR,UNK,N_GE4,NR,BE	56194930 	74529834 	75925977 	75283417 	84133144 	76449437 b	90040207 	93808434 	46164836 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,BG	3149308 	3344367 	3495856 	3170685 	3319357 	4263068 	5357490 	5714698 	1375293 	994298 	4588296 	5336229 
A,PER,FOR,UNK,N_GE4,NR,CH	82506211 	85657094 	86779600 	96290641 	103191263 	107296930 	104736449 	102337413 	54593510 	56867887 	90829152 	: 
A,PER,FOR,UNK,N_GE4,NR,CY	11003161 	10771023 	12516620 	10987432 	11563037 	12088365 	10191184 	11261327 	5238373 	4377671 	7852753 	10115478 
A,PER,FOR,UNK,N_GE4,NR,CZ	36258943 	35093508 	33399954 	32314077 	35192169 	40479974 	40818170 	40535058 	12818611 	22032533 	40562314 	43156764 
A,PER,FOR,UNK,N_GE4,NR,DE	592500235 	652658478 	641773049 	622715916 	670353933 	700467757 	807984827 	769319416 	289221400 	395175523 	708942298 	795506275 
A,PER,FOR,UNK,N_GE4,NR,DK	43538270 	42928623 b	44468886 	42963144 	42218279 	42401456 	40159518 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,EL	4849232 	7444111 	6785123 	6045288 	6367902 	5471572 	6517619 	7250293 	3177611 	3581023 	8058136 	8216764 
A,PER,FOR,UNK,N_GE4,NR,ES	78520987 	73316157 	73572266 	91538249 b	96102969 	94255375 	103070765 	97994994 	29245734 	47673341 	98207626 	108875191 
A,PER,FOR,UNK,N_GE4,NR,FI	37476370 	36689715 	35867109 	35734931 	35672084 	40217644 	41233786 	48330876 	22847312 	14611278 	40155026 	45986532 
A,PER,FOR,UNK,N_GE4,NR,FR	184816310 	194125952 	208787903 	177070336 	177771998 	190182085 	197943308 	201083016 	64304780 	82364459 	159493420 	195135926 
A,PER,FOR,UNK,N_GE4,NR,HR	11090980 	14809310 	10834684 	13435938 	4968352 	7695147 	6955479 	7220257 	3310903 	4291847 	4645252 	7508010 
A,PER,FOR,UNK,N_GE4,NR,HU	18125195 	18464456 	20687447 	21861520 	22514162 	23223319 	25674738 	31445876 	8616861 	11009096 	21741882 	26782484 
A,PER,FOR,UNK,N_GE4,NR,IE	38172525 	37312483 	37184750 	37087660 	39793685 	40594835 	42160891 	47310840 	10405763 	12037421 	42649583 	46685132 
A,PER,FOR,UNK,N_GE4,NR,IT	84818249 	81081019 	73588136 b	72258490 	59601540 	62004601 	85039323 	91435474 	22600977 	33677832 	67791507 	61666400 
A,PER,FOR,UNK,N_GE4,NR,LT	10217563 	11125366 	9509334 	9814986 	9981898 	10176233 	11054596 	11256646 	3239103 	3768031 	9663064 	10894680 
A,PER,FOR,UNK,N_GE4,NR,LU	8837587 	8647764 	8970605 	8910437 	9171234 	13275656 	12660180 	12302218 	9380967 	12189280 	17618567 	17048985 
A,PER,FOR,UNK,N_GE4,NR,LV	5999800 	5671029 	7252298 	5175106 	5695578 	5232665 	5266575 	6316199 	2360385 	3572955 	5915022 	7892599 
A,PER,FOR,UNK,N_GE4,NR,ME	: 	: 	: 	: 	3980526 	2593476 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,MK	: 	: 	: 	: 	: 	: 	: 	2271701 	552757 	1503681 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,MT	1805525 	2037449 	1959574 b	1928447 	2179743 	2531108 	2984780 	2950156 	894755 	1481427 	2707845 	3445820 
A,PER,FOR,UNK,N_GE4,NR,NL	158824772 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,NO	: 	42556192 	54609899 	49842326 	48222009 	52107973 	46360162 	: 	: 	15051773 	46844307 	44413073 
A,PER,FOR,UNK,N_GE4,NR,PL	62109473 	68524787 	93084727 b	87900673 	93352190 	105346478 	106572533 	118040483 	53792687 	60992698 	105350865 	107383865 
A,PER,FOR,UNK,N_GE4,NR,PT	7148441 	10343743 	8600550 	8746980 	7800228 	11175600 	11564629 	14354951 	3819800 	5701611 	12596558 	14391053 
A,PER,FOR,UNK,N_GE4,NR,RO	8280933 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,RS	: 	: 	: 	: 	: 	: 	5152476 	: 	: 	: 	: 	: 
A,PER,FOR,UNK,N_GE4,NR,SE	: 	: 	59063193 	50746103 	64368347 	150512287 	119607787 	108576955 	31003467 	39484376 	102717901 	: 
A,PER,FOR,UNK,N_GE4,NR,SI	10241657 	10044954 	9997835 	11960351 	12518181 	11602565 	12939244 	11999703 	6105954 	10035571 	14301028 	16665499 
A,PER,FOR,UNK,N_GE4,NR,SK	17902664 	13182796 b	10912647 	15670276 	14554122 	17120935 	21133485 	24117293 	3690102 	7403292 	14088863 	19954721 
A,PER,FOR,UNK,N_GE4,NR,UK	489977475 	506465538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,NEU27_2020_FOR,Q1,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PER,NEU27_2020_FOR,Q1,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q1,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q1,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q1,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,PER,NEU27_2020_FOR,Q1,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2334026 u	4366372 	4561057 
A,PER,NEU27_2020_FOR,Q1,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	2093971 u	1739726 u
A,PER,NEU27_2020_FOR,Q1,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	527618 u	522812 u	445981 u
A,PER,NEU27_2020_FOR,Q1,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2784503 	2694801 u	5276101 	6599124 
A,PER,NEU27_2020_FOR,Q1,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q1,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2305570 u	4292636 	4450025 
A,PER,NEU27_2020_FOR,Q1,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	2065397 u	1637645 u
A,PER,NEU27_2020_FOR,Q1,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	519363 u	511759 u	428335 u
A,PER,NEU27_2020_FOR,Q1,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2752106 	2662294 u	5152428 	6538914 
A,PER,NEU27_2020_FOR,Q1,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PER,NEU27_2020_FOR,Q2,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	100721 u	190093 u
A,PER,NEU27_2020_FOR,Q2,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q2,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q2,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	212840 u	: u	80329 u	131617 u
A,PER,NEU27_2020_FOR,Q2,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PER,NEU27_2020_FOR,Q2,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1926263 u	6834362 	9340124 
A,PER,NEU27_2020_FOR,Q2,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2296225 u	1337775 u	3042314 	3563460 
A,PER,NEU27_2020_FOR,Q2,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	298466 u	317590 u	468505 	666401 
A,PER,NEU27_2020_FOR,Q2,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	6928774 	2993079 	8701269 	8783364 
A,PER,NEU27_2020_FOR,Q2,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q2,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1885170 u	6733640 	9150032 
A,PER,NEU27_2020_FOR,Q2,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2204561 u	1310401 u	2966875 	3417749 
A,PER,NEU27_2020_FOR,Q2,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	310893 u	439043 u	623433 
A,PER,NEU27_2020_FOR,Q2,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	6715934 	2936767 	8620940 	8651748 
A,PER,NEU27_2020_FOR,Q2,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q3,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	179085 u
A,PER,NEU27_2020_FOR,Q3,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PER,NEU27_2020_FOR,Q3,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q3,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	252169 	428680 
A,PER,NEU27_2020_FOR,Q3,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q3,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	3590055 	5422211 	7945751 
A,PER,NEU27_2020_FOR,Q3,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2410506 u	1420118 u	3966084 	4070616 
A,PER,NEU27_2020_FOR,Q3,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	312480 u	273330 u	562831 	787101 
A,PER,NEU27_2020_FOR,Q3,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2749171 	4410134 	16400226 	17676058 
A,PER,NEU27_2020_FOR,Q3,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	462951 u	618099 	404313 
A,PER,NEU27_2020_FOR,Q3,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	3583268 	5356498 	7766666 
A,PER,NEU27_2020_FOR,Q3,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2326059 u	1420118 u	3796374 	3953488 
A,PER,NEU27_2020_FOR,Q3,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	298483 u	264296 u	535895 	750384 
A,PER,NEU27_2020_FOR,Q3,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2704128 	4381348 	16148057 	17247378 
A,PER,NEU27_2020_FOR,Q3,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	453069 u	566052 	399733 
A,PER,NEU27_2020_FOR,Q4,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	249998 	157154 u
A,PER,NEU27_2020_FOR,Q4,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q4,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q4,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	113796 u	764705 	970354 
A,PER,NEU27_2020_FOR,Q4,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,Q4,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	6005829 	7414800 	9137253 
A,PER,NEU27_2020_FOR,Q4,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	6824824 	: u	4253265 	4832003 
A,PER,NEU27_2020_FOR,Q4,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	622347 	419631 u	885769 	1377018 
A,PER,NEU27_2020_FOR,Q4,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2517025 	7285664 	27985262 	30831677 
A,PER,NEU27_2020_FOR,Q4,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	430137 u	674944 	1312194 
A,PER,NEU27_2020_FOR,Q4,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	5899454 	7164802 	8980099 
A,PER,NEU27_2020_FOR,Q4,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	6737670 	: u	4075360 	4697292 
A,PER,NEU27_2020_FOR,Q4,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	610327 	401695 u	850995 	1348269 
A,PER,NEU27_2020_FOR,Q4,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2394702 	7171867 	27220557 	29861323 
A,PER,NEU27_2020_FOR,Q4,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	425408 u	658817 	1308389 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	159002 	: 	: 	: 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	228654 	476241 	831178 	1238531 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	207627 	182712 u	490170 	637364 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	80473 u	218080 	304357 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	178744 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	2262424 u	2189079 u	4992539 	4619545 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	277485 u	: u	451629 u	499630 u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	47365 u	: u	102224 u	126080 u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	70334 u	60953 u	111395 	112453 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	992450 	987708 	2135423 	2504090 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	498605 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1602609 	1193079 	2232557 	4205163 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	252005 	293776 	547189 	857886 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	308370 	458621 	584908 	582805 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	1035290 	929048 	3349434 	4234992 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	928707 u	1048688 u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	85912 	48369 	216030 	188671 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	43672 	55849 	115942 	144488 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	113175 u	167960 u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	38729 u	108716 	: 	: 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	18800 u	15932 u	44143 	68111 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	412602 	231401 	1220876 	1590861 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	517591 	535152 u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	310549 	140078 	404750 	509698 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	82008 u	: u	149404 	200686 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	70181 u	: u
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	507816 u	589255 u	: u	: 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	249198 	425101 	872826 
A,PER,NEU27_2020_FOR,TOTAL,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	705344 	: 	: 	: 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	5604811 	8886728 	22232706 	31023870 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	8772981 	13856173 	24037745 	30984185 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	591901 u	538191 	1934922 	2030162 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	14679650 	13385598 	23867016 	: 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	2381539 	1674732 u	3495228 	4411409 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1437858 u	5760019 	11497326 	12907109 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	66360820 	94302690 	229794501 	286198373 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	13110591 	4349495 	13355634 	14205804 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	1321592 	1538168 	2439917 	3276501 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	1681578 	1844092 	4138359 	4395163 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	16434474 	25027241 	56824799 	65035742 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	9188847 	5802386 	13132298 	17257930 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	29428659 	20236332 	64618321 	93037026 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	1497693 	2204889 	2947725 	4556280 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	2856150 	3309759 	5350981 	7368654 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	6013775 	5296281 	15829306 	20998474 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	13072234 	11581213 	31217976 	30169918 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	1351429 	1578463 	4381180 	4837697 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	1348934 	1938729 	3983977 	4527741 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	921156 u	1518080 	2888788 	3926313 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	372495 	843415 	: 	: 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	486584 	495421 	902975 	1306349 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	14979473 	17383677 	58362858 	63890224 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	3854176 u	15147813 	11718490 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	13210327 	16507706 	30323017 	34747669 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	1952561 	2145279 	5898446 	6575460 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	372462 u	984334 	1431452 	2379759 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	14034572 	14464916 	23994348 	: 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	829445 u	2076490 	3480697 	5294809 
A,PER,NEU27_2020_FOR,TOTAL,N_GE1,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	931362 u	3302694 	6649573 
A,PER,NEU27_2020_FOR,TOTAL,N_GE4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	546342 	: 	: 	: 
A,PER,NEU27_2020_FOR,TOTAL,N_GE4,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	5376157 	8410486 	21401529 	29785339 
A,PER,NEU27_2020_FOR,TOTAL,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	8565353 	13673461 	23547576 	30346821 
A,PER,NEU27_2020_FOR,TOTAL,N_GE4,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	560132 u	457718 u	1716841 	1725805 
A,PER,NEU27_2020_FOR,TOTAL,N_GE4,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	14541487 	13215429 	23599926 	: 
