freq,c_dest,purpose,duration,isced11,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N1-3,ED5-8,NR,AL	: 	: 	: 	: 	: 	557077 	: 	519258 	471857 	: 	: 	: 
A,DOM,PER,N1-3,ED5-8,NR,AT	1527438 	1835379 	1864724 	1783250 	1940119 	1903308 	2410108 	2673507 	2381692 	2659181 	3328133 	3188446 
A,DOM,PER,N1-3,ED5-8,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2454973 	1936556 	2184352 
A,DOM,PER,N1-3,ED5-8,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	686951 	691083 	717594 
A,DOM,PER,N1-3,ED5-8,NR,DK	: 	: 	: 	: 	: 	: 	: 	4704093 	5215113 	4019925 	3782793 	3463664 
A,DOM,PER,N1-3,ED5-8,NR,EE	657178 	634369 	881862 	955085 	1036196 	1116220 	1643734 	1133500 	766734 	792282 	935641 	973364 
A,DOM,PER,N1-3,ED5-8,NR,ES	26748536 	26669670 	26730929 	40539873 	42051029 	43735828 	44129499 	43253430 	23880460 	35752965 	41850300 	42648988 
A,DOM,PER,N1-3,ED5-8,NR,FI	8132019 	8153225 	7770204 	7942260 	8546781 	8865549 	8486143 	9878761 	6846100 	9358817 	8782012 	8248940 
A,DOM,PER,N1-3,ED5-8,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	49311976 	62210115 	65745617 	77291101 
A,DOM,PER,N1-3,ED5-8,NR,HR	778837 	813378 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,ED5-8,NR,HU	: 	: 	: 	3383029 	3214703 	3446591 	3461617 	3321527 	2394462 	: 	: 	: 
A,DOM,PER,N1-3,ED5-8,NR,LU	12842 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DOM,PER,N1-3,ED5-8,NR,LV	1334958 	1031531 	1184204 	1149976 	1227048 	1109812 	1023576 	1016579 	574227 	1027862 	1209414 	1366361 
A,DOM,PER,N1-3,ED5-8,NR,MK	: 	: 	: 	: 	: 	: 	: 	19437 	41122 	46461 	: 	: 
A,DOM,PER,N1-3,ED5-8,NR,MT	: 	: 	51954 	51459 	79810 	: 	: 	65524 	136357 	136936 	115875 	144181 
A,DOM,PER,N1-3,ED5-8,NR,NL	9784110 	8852014 	8407077 	7895405 	8210567 	6425766 	6420892 	6489697 	5655046 	11947028 	8161985 	8702483 
A,DOM,PER,N1-3,ED5-8,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2316288 	1949427 
A,DOM,PER,N1-3,ED5-8,NR,PT	3060438 	3256009 	: 	3983685 	4068825 	4329552 	4486908 	5199744 	3190566 	4138131 	5157867 	77936 
A,DOM,PER,N1-3,ED5-8,NR,RO	: 	2175356 	2183465 	2117132 	2231789 	2470263 	2692017 	2537702 	1690474 	2651430 	2912058 	2521331 
A,DOM,PER,N1-3,ED5-8,NR,RS	: 	: 	: 	: 	: 	: 	172946 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,ED5-8,NR,SI	589271 	572943 	547374 	477602 	503511 	: 	: 	: 	: 	977430 	764207 	1082219 
A,DOM,PER,N1-3,TOTAL,NR,AL	: 	: 	: 	: 	: 	2447366 	: 	2816246 	1856588 	: 	: 	: 
A,DOM,PER,N1-3,TOTAL,NR,AT	5777112 	6314809 	6709183 	6351613 	6882323 	6764655 	7361385 	7909105 	6288046 	6677951 	9499556 	9211332 
A,DOM,PER,N1-3,TOTAL,NR,BE	1489881 	1670786 	1435782 	2235671 	1698476 	2175530 	2469676 	2782431 	2219809 	3606225 	3316240 	3403263 
A,DOM,PER,N1-3,TOTAL,NR,BG	1941286 	1877711 	1855864 	1424295 	1596173 	2736847 	2335183 	2204807 	1208155 	1677700 	1967127 	2030006 
A,DOM,PER,N1-3,TOTAL,NR,CH	3905121 	4450442 	3993011 	4058296 	3836856 	3968361 	3733290 	4014110 	4074610 	4555362 	4270869 	: 
A,DOM,PER,N1-3,TOTAL,NR,CY	1074564 	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 
A,DOM,PER,N1-3,TOTAL,NR,CZ	18628902 	17215083 	18528217 	16203332 	17702092 	20061639 	18498367 	18301424 	12774637 	14492600 	17453952 	12840828 
A,DOM,PER,N1-3,TOTAL,NR,DE	84908064 	87350273 	80109555 	89534444 	87104335 	79063521 	82390597 	84381050 	57445754 	70272824 	67283380 	78472262 
