freq,c_dest,purpose,duration,isced11,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,TOTAL,N_GE4,TOTAL,NR,BE	1081515 	920335 	782551 	921040 	1131879 	791475 	1147028 	1155762 	1098735 	1649438 	1174411 	1192084 
A,DOM,TOTAL,N_GE4,TOTAL,NR,BG	1094040 	1433066 	1182628 	1027569 	1308035 	1855838 	1705264 	1510327 	1046650 	1240739 	1377246 	1573181 
A,DOM,TOTAL,N_GE4,TOTAL,NR,CH	2329833 	2401548 	2369066 	2070867 	2193772 	2451266 	2360891 	2188707 	2973965 	2837678 	2607137 	: 
A,DOM,TOTAL,N_GE4,TOTAL,NR,CY	266671 	394017 	310425 	199914 	246132 	217683 	225462 	252606 	243910 	275844 	315191 	284857 
A,DOM,TOTAL,N_GE4,TOTAL,NR,CZ	7457771 	7274188 	7802529 	7152464 	8489339 	8209895 	7937609 	8515586 	7696695 	7850578 	8134736 	6882115 
A,DOM,TOTAL,N_GE4,TOTAL,NR,DE	51014221 	49080350 	50342326 	52537662 	52479748 	48111248 	52287638 	51406515 	38681065 	45915594 	49576650 	50468136 
A,DOM,TOTAL,N_GE4,TOTAL,NR,DK	3167472 	3157981 	3469238 	3579258 	3274981 	3542827 	3615639 	4775712 	4385670 	3499629 	2651634 	2508345 
A,DOM,TOTAL,N_GE4,TOTAL,NR,EE	259235 	186626 	237226 	277574 	285161 	312781 	291059 	306501 	224619 	306080 	256642 	308920 
A,DOM,TOTAL,N_GE4,TOTAL,NR,EL	3697649 	3351880 	3857100 	3455676 	3375820 	3925297 	4048832 	3732811 	3214481 	3532087 	4232434 	4314066 
A,DOM,TOTAL,N_GE4,TOTAL,NR,ES	36265070 	34619359 	32559302 	31409541 	34214263 	34852891 	35095636 	35567299 	22026319 	31060091 	34959004 	37511275 
A,DOM,TOTAL,N_GE4,TOTAL,NR,FI	5662889 	5571514 	5441377 	5514219 	5707844 	5554006 	5799109 	5584757 	7086983 	8476479 	7440965 	6484158 
A,DOM,TOTAL,N_GE4,TOTAL,NR,FR	86090812 	86881886 	86384355 	76688536 	75310157 	77714440 	78003690 	74001271 	65843719 	75472431 	77963352 	75584863 
A,DOM,TOTAL,N_GE4,TOTAL,NR,HR	2277220 	2370152 	1913574 	1865800 	1338844 	1509169 	1520707 	1648650 	1155508 	1597571 	1538000 	1694246 
A,DOM,TOTAL,N_GE4,TOTAL,NR,HU	3746710 	3351572 	3280628 	3141218 	3029988 	2922440 	3038101 	3072573 	2083433 	2304235 	2398237 	2679033 
A,DOM,TOTAL,N_GE4,TOTAL,NR,IE	1172611 	1229750 	1208282 	1129334 	1204903 	1189430 	1278611 	1403435 	1377528 	1060282 	1779794 	1488765 
A,DOM,TOTAL,N_GE4,TOTAL,NR,IT	21129494 	19364438 	18532925 	17582741 	19888651 	20705234 	23107002 	21326852 	14860271 	18807783 	19218234 	18119750 
A,DOM,TOTAL,N_GE4,TOTAL,NR,LT	432782 	520854 	483660 	453716 	431243 	424336 	438838 	432689 	392867 	416116 	429581 	470511 
A,DOM,TOTAL,N_GE4,TOTAL,NR,LU	: u	4848 u	: u	10077 u	: u	10483 u	7612 u	5594 u	25428 	31934 	44658 	40808 
A,DOM,TOTAL,N_GE4,TOTAL,NR,LV	414437 	339480 	475451 	313623 	303885 	290464 	266186 	315287 	269227 	348623 	302900 	355497 
A,DOM,TOTAL,N_GE4,TOTAL,NR,ME	: 	: 	: 	: 	361775 	302757 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,TOTAL,NR,MK	: 	: 	: 	: 	: 	: 	: 	82233 	62504 	81319 	: 	: 
A,DOM,TOTAL,N_GE4,TOTAL,NR,MT	36310 u	21649 u	30461 	32274 	45228 	42825 	42716 	37882 	70086 	80050 	68646 	74114 
A,DOM,TOTAL,N_GE4,TOTAL,NR,NL	7966284 	7330434 	6976218 	7084005 	7382140 	7054245 	7020816 	7465499 	7507987 	9411539 	6601638 	6612466 
A,DOM,TOTAL,N_GE4,TOTAL,NR,NO	: 	3424170 	4122611 	3602933 	3804793 	4088565 	4480460 	: 	: 	6427745 	6489305 	6281883 
A,DOM,TOTAL,N_GE4,TOTAL,NR,PL	16388536 	17028721 	15023608 	15633282 	17073468 	17986336 	18802258 	20030878 	15972867 	19598890 	21693522 	21198382 
A,DOM,TOTAL,N_GE4,TOTAL,NR,PT	3378078 	4120120 	3324960 	3822587 	3544883 	3947044 	3995144 	4648554 	3894078 	4462527 	4508625 	4595653 
A,DOM,TOTAL,N_GE4,TOTAL,NR,RO	6395393 	6348244 	5999859 	5549697 	5651132 	5678291 	6109491 	6771640 	4210249 	5943583 	6020203 	6724308 
A,DOM,TOTAL,N_GE4,TOTAL,NR,RS	: 	: 	: 	: 	: 	: 	438142 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,TOTAL,NR,SE	: 	: 	6755178 	7484199 	7415205 	11289944 	9965963 	10596507 	12724091 	13951604 	16417733 	: 
A,DOM,TOTAL,N_GE4,TOTAL,NR,SI	386399 	364167 	331938 	337676 	380058 	311778 	339172 	362668 	401590 	670313 	551337 	549504 
A,DOM,TOTAL,N_GE4,TOTAL,NR,SK	1817225 	1316215 	1389713 	1491361 	1816440 	1740178 	2097100 	2569144 	1168896 	1381631 	1826353 	2012115 
A,DOM,TOTAL,N_GE4,TOTAL,NR,UK	28955484 	27602141 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,BE	1081515 	920335 	782551 	921040 	1131879 	791475 	1147028 	1155762 	1098735 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,BG	1094040 	1433066 	1182628 	1027569 	1308035 	1855838 	1705264 	1510327 	1046650 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,CH	2329833 	2401548 	2369066 	2070867 	2193772 	2451266 	2360891 	2188707 	2973965 	2837678 	2607137 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,CY	266671 	394017 	310425 	199914 	246132 	217683 	225462 	252606 	243910 	275844 	315191 	284857 
A,DOM,TOTAL,N_GE4,UNK,NR,CZ	7457771 	7274188 	7802529 	7152464 	8489339 	8209895 	7937609 	8515586 	7696695 	7850578 	8134736 	6882115 
A,DOM,TOTAL,N_GE4,UNK,NR,DE	51014221 	49080350 	50342326 	52537662 	52479748 	48111248 	52287638 	51406515 	38681065 	45915594 	49576650 	50468136 
A,DOM,TOTAL,N_GE4,UNK,NR,DK	3167472 	3157981 	3469238 	3579258 	3274981 	3542827 	3615639 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,DOM,TOTAL,N_GE4,UNK,NR,EL	3697649 	3351880 	3857100 	3455676 	3375820 	3925297 	4048832 	3732811 	3214481 	3532087 	4232434 	4314066 
A,DOM,TOTAL,N_GE4,UNK,NR,FR	86090812 	86881886 	86384355 	76688536 	75310157 	77714440 	78003690 	74001271 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,HR	: 	: 	1913574 	1865800 	1338844 	1509169 	1520707 	1648650 	1155508 	1597571 	1538000 	1694246 
A,DOM,TOTAL,N_GE4,UNK,NR,HU	3746710 	3351572 	3280628 	: 	: 	: 	: 	: 	: u	2304235 	2398237 	2679033 
A,DOM,TOTAL,N_GE4,UNK,NR,IE	1172611 	1229750 	1208282 	1129334 	1204903 	1189430 	1278611 	1403435 	1377528 	1060282 	1779794 	1488765 
A,DOM,TOTAL,N_GE4,UNK,NR,IT	21129494 	19364438 	18532925 	17582741 	19888651 	20705234 	23107002 	21326852 	14860271 	18807783 	19218234 	18119750 
A,DOM,TOTAL,N_GE4,UNK,NR,LT	432782 	520854 	483660 	453716 	431243 	424336 	438838 	432689 	392867 	416116 	429581 	470511 
A,DOM,TOTAL,N_GE4,UNK,NR,LU	: 	4848 u	: u	10077 u	: u	10483 u	7612 u	: u	25428 	31934 	44658 	40808 
A,DOM,TOTAL,N_GE4,UNK,NR,ME	: 	: 	: 	: 	361775 	302757 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,MT	36310 u	21649 u	: 	: 	: 	42825 	42716 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,NL	62176 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,NO	: 	3424170 	4122611 	3602933 	3804793 	4088565 	4480460 	: 	: 	6427745 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,PL	16388536 	17028721 	15023608 	15633282 	17073468 	17986336 	18802258 	20030878 	15972867 	19598890 	21693522 	21198382 
A,DOM,TOTAL,N_GE4,UNK,NR,PT	: 	: 	3324960 	: 	: 	: 	: 	: 	: 	: 	: 	4455812 
A,DOM,TOTAL,N_GE4,UNK,NR,RO	6395393 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,SE	: 	: 	6755178 	7484199 	7415205 	11289944 	9965963 	10596507 	12724091 	13951604 	16417733 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,SI	: 	: 	: 	: 	: 	311778 	339172 	362668 	401590 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNK,NR,SK	1817225 	1316215 	1389713 	1491361 	1816440 	1740178 	2097100 	2569144 	1168896 	1381631 	1826353 	2012115 
A,DOM,TOTAL,N_GE4,UNK,NR,UK	28955484 	27602141 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	15022 u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	104962 u	136071 	224437 	463454 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	193969 	310971 	385866 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	179293 u	190335 u	154366 u	232820 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	18304 u	: u	41397 u	65828 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	205303 	253117 	431498 	512153 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	119988 u	: u	263312 	461232 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	211845 u	277187 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	41445 u	39760 u
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	8365 u
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	83255 u	295846 	490848 	517481 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	354191 	377840 
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	29463 u	31367 u	99078 	: u
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,EU27_2020_FOR,PER,N1-3,ED0-2,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	65941 	160717 	146408 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	12466 u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	631010 	1002749 	2233087 	2513402 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	426394 	771281 	824531 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	57115 u	91417 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	245146 u	239649 	384682 	487676 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	64782 	28439 u	147232 	130866 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	268785 	326514 	605934 	715358 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	239563 	204384 u	467523 	793841 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	479358 	561997 	1457893 	1636335 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	66747 u	51476 u	148182 	166212 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	20065 	29437 	62994 	66644 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	387564 	731881 	1244984 	1202256 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1124981 	1083699 
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	35150 u	44253 	117382 	: u
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	52905 u	70048 u
A,EU27_2020_FOR,PER,N1-3,ED3_4,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	278616 	356178 	589671 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	500040 	758513 	1644986 	1698687 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1060211 	2171048 	2468192 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	30887 u	88050 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	287193 	333917 	604776 	575422 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	58807 	65447 	139765 	166186 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	586327 	683282 	1723980 	1852308 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	268275 	291488 	546087 	1001510 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1680519 	1659335 	3894155 	5325576 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	101187 	85588 	255613 	311247 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	20629 	22688 	50621 	73462 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	645581 	1421406 	2977376 	3571365 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	325278 	243660 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	72490 	83548 	260537 	: u
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	33398 u	78015 	116156 
A,EU27_2020_FOR,PER,N1-3,ED5-8,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	289084 	380474 	590769 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	31962 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1236012 	1897332 	4102510 	4675543 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1390863 	1680574 	3253301 	3678589 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	37953 u	: u	102076 	193702 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1532374 	1259831 	2685401 	: 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	71908 	56478 u	216308 	273609 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	575544 	490169 	1301715 	1701345 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	6360670 	8497900 	12972090 	14296783 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	711631 	763901 	1143824 	1295918 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	141893 	109548 	328393 	408300 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	24894 u	39806 u	87513 	85435 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1060415 	1262913 	2761412 	3079819 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	627826 	576630 	1276922 	2256584 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	2242381 	2350138 	5563893 	7239099 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	99031 	112656 	322486 	539127 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1047500 	858120 	1640254 	1734896 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	234197 	125965 u	718399 	959742 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	647363 	550478 	1309087 	1339681 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	118469 	146362 	236685 	292252 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	427750 	533546 	798453 	919721 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	188389 	143201 	445240 	517220 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	19600 u	: 	: 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	41261 	54204 	116836 	148470 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	1116399 	2449133 	4713208 	5291102 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	485367 	1804450 	1705199 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	859906 	979942 	1638227 	1822276 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	137103 	159168 	476997 	713747 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	37953 u	57332 u	134147 	206176 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	886713 	1007355 	2725629 	: 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	401885 	633641 	897369 	1326847 
A,EU27_2020_FOR,PER,N1-3,TOTAL,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	346273 	404999 	1085767 	1390715 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1390863 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	37953 u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1532374 	1259831 	2685401 	: 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	71908 	56478 u	216308 	273609 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	575544 	490169 	1301715 	1701345 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	6360670 	8497900 	12972090 	14296783 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45420 u
A,EU27_2020_FOR,PER,N1-3,UNK,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	24894 u	39806 u	87513 	85435 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	99031 	112656 	322486 	539127 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1047500 	858120 	1640254 	1734896 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	234197 	125965 u	718399 	959742 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	647363 	550478 	1309087 	1339681 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	118469 	146362 	236685 	292252 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	427750 	533546 	798453 	919721 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	485367 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	859906 	979942 	1638227 	1822276 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	693646 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	886713 	1007355 	2725629 	: 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	401885 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNK,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	346273 	404999 	1085767 	1390715 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	53529 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	246457 	401856 	632254 	1090457 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	780392 	1282870 	1265643 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46266 u	75910 u
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	456003 	483423 	664628 	736663 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	39702 u	38974 u	77013 	121791 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	438178 	673594 	1406958 	1569728 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	264484 	213974 	813781 	960604 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	152703 u	362409 	833255 	863217 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	26982 u	92041 	75639 u
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	13033 u	: 	: 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	17804 	26030 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	698936 	1244562 	2201711 	2305059 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1163109 	1171690 
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	83784 	127333 	299400 	13747 u
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	46791 u	54429 u	114087 u
A,EU27_2020_FOR,PER,N_GE1,ED0-2,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	178534 	363938 	346410 
A,EU27_2020_FOR,PER,N_GE1,ED3_4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	49142 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,ED3_4,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1366042 	2926795 	5615676 	6208561 
A,EU27_2020_FOR,PER,N_GE1,ED3_4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1597013 	2524756 	2711439 
A,EU27_2020_FOR,PER,N_GE1,ED3_4,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	30871 u	203665 	280896 
A,EU27_2020_FOR,PER,N_GE1,ED3_4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	894738 	933668 	1470498 	1834984 
