freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N_GE1,NR,SK	16404408 	14057444 b	15264601 	18311661 	21245629 	21333741 	24481806 	28575570 	15806699 	15907280 	22667443 	24955645 
A,DOM,PER,N_GE1,NR,UK	289985777 	279794442 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,NR,AL	: 	: 	: 	: 	: 	7302424 	: 	10948657 	8831555 	: 	: 	: 
A,DOM,PER,N_GE4,NR,AT	21630813 	22353669 	19686674 	19758988 	21574717 	20203827 	22853271 	21339243 	21439337 	19421513 	21655980 	23188760 
A,DOM,PER,N_GE4,NR,BE	7713838 	7683518 	6107451 	6339055 	8400779 	5817411 b	9711409 	7703080 	8418360 	12103586 	8524413 	8309343 
A,DOM,PER,N_GE4,NR,BG	7629947 b	10455001 	7976733 	6799905 	8188223 	11556451 	10952035 	9841010 	7143946 	7492256 	8415377 	10000135 
A,DOM,PER,N_GE4,NR,CH	17044943 	17848641 	18558527 	14267733 	17037677 	18811002 	18404550 	17698487 	24626518 	20753486 	19122089 	: 
A,DOM,PER,N_GE4,NR,CY	2460350 b	3025529 	2830300 	1475359 	1883518 	1744309 	1550120 	1680373 	2171147 	2002530 	2048468 	2055058 
A,DOM,PER,N_GE4,NR,CZ	56977164 	55491568 	58977422 	54165640 	61973674 	60503719 	56180788 	63694005 	60211507 	61250454 	56737180 	50461596 
A,DOM,PER,N_GE4,NR,DE	318520067 	314610697 	321755759 	349880710 	336074122 	313742167 	343423283 	331979228 	303382096 	303140111 	327135619 	307990183 
A,DOM,PER,N_GE4,NR,DK	21706809 	20813435 b	27045500 	32089977 	21764373 	21966541 	22173044 	32840909 	31031070 	22341233 	17670067 	17078737 
A,DOM,PER,N_GE4,NR,EA20	1935809428 	1948638025 	1869997601 	1768051920 	1776849830 	1749156840 	1797213431 	1746600458 	1563450219 	1713728705 	1736068423 	1710378159 
A,DOM,PER,N_GE4,NR,EE	2176400 	1113294 	1355987 	1704663 	1522593 	1856001 	1675362 	1668933 	1374492 	1815525 	1281147 	1738497 
A,DOM,PER,N_GE4,NR,EL	39750202 	45031406 	49629753 	45416282 	43377775 	50307532 	56127119 	50715956 	50099128 	52484549 	55105145 	52883341 
A,DOM,PER,N_GE4,NR,ES	345235825 	368292135 	341631775 	301281585 b	320518629 	322786394 	309688684 	321117080 	253055774 	296311212 	317324090 	326694972 
A,DOM,PER,N_GE4,NR,EU27_2020	2268835251 e	2277785181 e	2200156557 	2109107217 	2127693323 	2125585790 	2168259971 	2146125794 	1917997756 	2107291901 	2144254891 	2117531240 e
A,DOM,PER,N_GE4,NR,FI	34280922 b	36615268 	34867827 	34442709 	35510858 	34027406 	34778716 	36877281 	55293757 	60571050 	51776690 	43999589 
A,DOM,PER,N_GE4,NR,FR	782870751 	790872686 	784852185 	709123796 	690845235 	666610524 	679042072 	631604924 	587397684 	631476519 	632024706 	638594002 
A,DOM,PER,N_GE4,NR,HR	20241647 	21112516 	19229294 	18518156 	14191696 	14880060 	13277767 	15696086 	12302788 	15136303 	15796177 	16559722 
A,DOM,PER,N_GE4,NR,HU	23797129 	20968436 	20577188 	18977418 	18044868 	17424939 	19349480 	19261859 	14518154 	14563415 	14594023 	16670275 
A,DOM,PER,N_GE4,NR,IE	8309130 	8290169 	8503676 	7734977 	7908595 	7999524 	8674681 	9014576 	9194256 	7231423 	10461902 	8852736 
A,DOM,PER,N_GE4,NR,IT	227205490 	205099407 	166579585 b	155813090 	174189324 	184071686 	190573060 	181975489 	133990805 	168466594 	173797847 	156763992 
A,DOM,PER,N_GE4,NR,LT	2884756 	3273121 	2906691 	3064406 	3067782 	3090804 	3189235 	3155117 	2402423 	2693317 	2433409 	2746353 
A,DOM,PER,N_GE4,NR,LU	: u	: u	: u	: u	: u	108749 u	88915 u	: u	225387 	420056 	582118 	454293 
A,DOM,PER,N_GE4,NR,LV	2936620 	2689402 	4097721 	2507047 	2986626 	2945279 	1837001 	2265823 	2358854 	3120444 	3173669 	2896670 
A,DOM,PER,N_GE4,NR,ME	: 	: 	: 	: 	2791836 	2494445 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,NR,MK	: 	: 	: 	: 	: 	: 	: 	568682 	390613 	485549 	: 	: 
A,DOM,PER,N_GE4,NR,MT	253075 u	135227 u	160072 b	191059 	298597 	279421 	228279 	220763 	444323 	437983 	376531 	359241 
A,DOM,PER,N_GE4,NR,NL	72708836 b	65912058 	62199005 	64293992 	67528546 	68571610 	69202680 	70747478 	68102625 	80037103 	57952546 	59528904 
A,DOM,PER,N_GE4,NR,NO	: 	23681549 	28064714 	24031999 	25971753 	27032040 	28569293 	: 	: 	48214260 	42314811 	40335827 
A,DOM,PER,N_GE4,NR,PL	133664955 	132863998 	130863995 b	137173442 	149000576 	155304789 	162581425 	168498362 	135382482 	161515257 	173755060 	166782447 
A,DOM,PER,N_GE4,NR,PT	31721207 	41671184 	32082295 	33059057 	31940341 	35651934 	34817154 	39272117 	40115371 	43582230 	39137339 	39268450 
A,DOM,PER,N_GE4,NR,RO	39311366 	38223771 	35189000 	31539146 	31951423 	32953197 	33728678 	36584889 	23476056 	33048978 	31415682 	35807591 
A,DOM,PER,N_GE4,NR,RS	: 	: 	: 	: 	: 	: 	3200359 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,NR,SE	: 	: 	49529118 	60309769 	59920355 	76719314 	66081091 	68804301 	82784322 	93351603 	105599079 	: 
A,DOM,PER,N_GE4,NR,SI	2364172 	2283375 	2024023 	2114429 	2398000 	2165949 	2071641 	2174279 	2236630 	3982282 	3064476 	3103913 
A,DOM,PER,N_GE4,NR,SK	12485448 	8532204 b	9466132 	11268574 	12554421 	12296251 	14402982 	17344977 	9444983 	9294374 	12416152 	14390143 
A,DOM,PER,N_GE4,NR,UK	169397555 	161152622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER_HOL,N1-3,NR,AL	: 	: 	: 	: 	: 	757015 	: 	1008760 	1062135 	: 	: 	: 
A,DOM,PER_HOL,N1-3,NR,AT	8100581 	8267979 	8971798 	8750721 	9522168 	9178742 	8725793 	9234157 	7115931 	7419873 	10385347 	10347182 
A,DOM,PER_HOL,N1-3,NR,BE	2673447 	2744950 	2374641 	3626696 	2707626 	3685330 b	3862670 	4381373 	3606168 	6128573 	5162609 	5133051 
A,DOM,PER_HOL,N1-3,NR,BG	1686456 b	1671617 	1934078 	1578749 	1612718 	2590579 	2333973 	2574797 	1528945 	2284903 	2622527 	2671671 
A,DOM,PER_HOL,N1-3,NR,CH	4216062 	4282181 	4230986 	3496410 	3875893 	3964706 	4170588 	4564855 	5098222 	5716728 	5299045 	: 
A,DOM,PER_HOL,N1-3,NR,CY	1617664 b	1301822 	1283593 	1501492 	1547520 	1579470 	1856000 	1946677 	2084375 	2610640 	2068032 	1928246 
A,DOM,PER_HOL,N1-3,NR,CZ	19976418 	16579904 	17860107 	14581884 	16917952 	19090428 	19134200 	18933020 	13835786 	15686998 	18275802 	13759523 
A,DOM,PER_HOL,N1-3,NR,DE	66134529 	70674569 	60668840 	67242604 	64745961 	60879824 	71860716 	73278782 	36445792 	44831681 	59082585 	73188043 
A,DOM,PER_HOL,N1-3,NR,DK	7240863 	9113977 b	9409835 	10121697 	8546488 	12173611 	5267204 	10523646 	11793644 	8828173 	7658005 	6989566 
A,DOM,PER_HOL,N1-3,NR,EA20	315209097 	304655262 	304723470 	285063360 	301385476 	311112892 	332727037 	334564453 	211078123 	272675735 	327351744 	348241102 
A,DOM,PER_HOL,N1-3,NR,EE	960278 	1020030 	1224678 	1521451 	1918391 	2003582 	2960889 	2283617 	1661493 	1901541 	2278624 	2441193 
A,DOM,PER_HOL,N1-3,NR,EL	3227669 	1926516 	2014682 	1982727 	1886174 	1918617 	2217571 	1795724 	1813369 	1912457 	2408910 	2442707 
A,DOM,PER_HOL,N1-3,NR,ES	100647320 	95967751 	98755870 	75607473 b	81331384 	92608724 	93605308 	93803295 	45143237 	66419133 	84156887 	88765170 
A,DOM,PER_HOL,N1-3,NR,EU27_2020	396244201 e	390651207 e	376693193 	359191109 	379655436 	397133390 	413017119 	422323784 	293181247 	361690970 	426137265 	446401696 e
A,DOM,PER_HOL,N1-3,NR,FI	15153577 b	15786907 	14800406 	15307193 	15510914 	15613113 	15989070 	15196062 	14963096 	17355771 	16135194 	14382862 
A,DOM,PER_HOL,N1-3,NR,FR	53601903 	52893671 	56807382 	50299092 	51499657 	60321292 	58690144 	60716515 	47111482 	59211832 	73581639 	79257642 
A,DOM,PER_HOL,N1-3,NR,HR	2259167 	2066846 	1732777 	1303994 	1059229 	1294756 	1456336 	1593979 	1040627 	1518954 	1579643 	2062287 
A,DOM,PER_HOL,N1-3,NR,HU	9571654 	7387330 	7957410 	8905217 	9370203 	10086181 	9657860 	10123334 	6945790 	7289089 	10640802 	10173010 
A,DOM,PER_HOL,N1-3,NR,IE	4790826 	4520001 	4915666 	5211052 	5442304 	5682652 	6312787 	6709144 	4740444 	3606787 	7596575 	6357347 
A,DOM,PER_HOL,N1-3,NR,IT	26726922 	18537311 	21645040 b	22522384 	30697512 	26068556 	32799790 	28352697 	17650079 	17722791 	25710431 	23327665 
A,DOM,PER_HOL,N1-3,NR,LT	1156127 	1097033 	1211400 	1296449 	1223790 	1194281 	1412257 	1552082 	1464631 	2095435 	2585679 	2732651 
A,DOM,PER_HOL,N1-3,NR,LU	25274 u	29334 u	16751 u	14973 u	12384 u	20529 u	19986 u	17800 u	120833 	100425 	86664 	118755 
A,DOM,PER_HOL,N1-3,NR,LV	1616497 	1309874 	1423728 	1463919 	1638163 	1227172 	1433683 	904412 	667947 	1873513 	1545070 	1545439 
A,DOM,PER_HOL,N1-3,NR,ME	: 	: 	: 	: 	538916 	619967 	: 	: 	: 	: 	: 	: 
A,DOM,PER_HOL,N1-3,NR,MK	: 	: 	: 	: 	: 	: 	: 	121487 	239517 	216940 	: 	: 
A,DOM,PER_HOL,N1-3,NR,MT	304347 	275306 	308114 b	325151 	461784 	377027 	369929 	349054 	493992 	500610 	520946 	565350 
A,DOM,PER_HOL,N1-3,NR,NL	17183699 b	15840853 	16499587 	15957510 	17097723 	13208899 	13597804 	15312691 	13760459 	23931979 	15835890 	16138645 
A,DOM,PER_HOL,N1-3,NR,NO	: 	6649332 	8091914 	7673606 	7988503 	7887603 	11382275 	: 	: 	17506485 	14593633 	13762040 
A,DOM,PER_HOL,N1-3,NR,PL	21730134 	28657660 	12417221 b	13440215 	15632872 	18303680 	19428899 	21047058 	16279260 	19285771 	23332570 	25165695 
A,DOM,PER_HOL,N1-3,NR,PT	5087977 	5551764 	5403926 	6124687 	6415004 	7201428 	8002033 	9434704 	6113007 	7321492 	9240145 	9302066 
A,DOM,PER_HOL,N1-3,NR,RO	5013135 	6644704 	6704273 	6759425 	7676377 	8059135 	9335464 	9540631 	5916296 	9995677 	10685053 	12679375 
A,DOM,PER_HOL,N1-3,NR,RS	: 	: 	: 	: 	: 	: 	551716 	: 	: 	: 	: 	: 
