head,relation,tail
3400,TO_DESTINATION,BE
3429,TO_DESTINATION,BE
3487,TO_DESTINATION,BE
3516,TO_DESTINATION,BE
3545,TO_DESTINATION,BE
215,TO_DESTINATION,BG
244,TO_DESTINATION,BG
273,TO_DESTINATION,BG
302,TO_DESTINATION,BG
331,TO_DESTINATION,BG
389,TO_DESTINATION,BG
418,TO_DESTINATION,BG
447,TO_DESTINATION,BG
476,TO_DESTINATION,BG
507,TO_DESTINATION,BG
538,TO_DESTINATION,BG
569,TO_DESTINATION,BG
600,TO_DESTINATION,BG
630,TO_DESTINATION,BG
662,TO_DESTINATION,BG
693,TO_DESTINATION,BG
724,TO_DESTINATION,BG
755,TO_DESTINATION,BG
786,TO_DESTINATION,BG
817,TO_DESTINATION,BG
848,TO_DESTINATION,BG
879,TO_DESTINATION,BG
940,TO_DESTINATION,BG
971,TO_DESTINATION,BG
1002,TO_DESTINATION,BG
1033,TO_DESTINATION,BG
1064,TO_DESTINATION,BG
1095,TO_DESTINATION,BG
1126,TO_DESTINATION,BG
1157,TO_DESTINATION,BG
1218,TO_DESTINATION,BG
1249,TO_DESTINATION,BG
1280,TO_DESTINATION,BG
1311,TO_DESTINATION,BG
1343,TO_DESTINATION,BG
1375,TO_DESTINATION,BG
1407,TO_DESTINATION,BG
1439,TO_DESTINATION,BG
1470,TO_DESTINATION,BG
1502,TO_DESTINATION,BG
1534,TO_DESTINATION,BG
1566,TO_DESTINATION,BG
1599,TO_DESTINATION,BG
1632,TO_DESTINATION,BG
1665,TO_DESTINATION,BG
1698,TO_DESTINATION,BG
1731,TO_DESTINATION,BG
1796,TO_DESTINATION,BG
1829,TO_DESTINATION,BG
1862,TO_DESTINATION,BG
1894,TO_DESTINATION,BG
1926,TO_DESTINATION,BG
1958,TO_DESTINATION,BG
1990,TO_DESTINATION,BG
2022,TO_DESTINATION,BG
2053,TO_DESTINATION,BG
2086,TO_DESTINATION,BG
2118,TO_DESTINATION,BG
2150,TO_DESTINATION,BG
2183,TO_DESTINATION,BG
2215,TO_DESTINATION,BG
2247,TO_DESTINATION,BG
2279,TO_DESTINATION,BG
2311,TO_DESTINATION,BG
2374,TO_DESTINATION,BG
2406,TO_DESTINATION,BG
2438,TO_DESTINATION,BG
2470,TO_DESTINATION,BG
2502,TO_DESTINATION,BG
2534,TO_DESTINATION,BG
2566,TO_DESTINATION,BG
2597,TO_DESTINATION,BG
2656,TO_DESTINATION,BG
2688,TO_DESTINATION,BG
2720,TO_DESTINATION,BG
2751,TO_DESTINATION,BG
2783,TO_DESTINATION,BG
2815,TO_DESTINATION,BG
2847,TO_DESTINATION,BG
2878,TO_DESTINATION,BG
2939,TO_DESTINATION,BG
2971,TO_DESTINATION,BG
3003,TO_DESTINATION,BG
3035,TO_DESTINATION,BG
3066,TO_DESTINATION,BG
3097,TO_DESTINATION,BG
3128,TO_DESTINATION,BG
3159,TO_DESTINATION,BG
3221,TO_DESTINATION,BG
3252,TO_DESTINATION,BG
3283,TO_DESTINATION,BG
3314,TO_DESTINATION,BG
3343,TO_DESTINATION,BG
3372,TO_DESTINATION,BG
3401,TO_DESTINATION,BG
3430,TO_DESTINATION,BG
3488,TO_DESTINATION,BG
3517,TO_DESTINATION,BG
3546,TO_DESTINATION,BG
216,TO_DESTINATION,CH
245,TO_DESTINATION,CH
274,TO_DESTINATION,CH
303,TO_DESTINATION,CH
332,TO_DESTINATION,CH
390,TO_DESTINATION,CH
419,TO_DESTINATION,CH
448,TO_DESTINATION,CH
477,TO_DESTINATION,CH
508,TO_DESTINATION,CH
539,TO_DESTINATION,CH
570,TO_DESTINATION,CH
601,TO_DESTINATION,CH
663,TO_DESTINATION,CH
694,TO_DESTINATION,CH
725,TO_DESTINATION,CH
756,TO_DESTINATION,CH
787,TO_DESTINATION,CH
818,TO_DESTINATION,CH
849,TO_DESTINATION,CH
880,TO_DESTINATION,CH
941,TO_DESTINATION,CH
972,TO_DESTINATION,CH
1003,TO_DESTINATION,CH
1034,TO_DESTINATION,CH
1065,TO_DESTINATION,CH
1096,TO_DESTINATION,CH
1127,TO_DESTINATION,CH
1158,TO_DESTINATION,CH
1219,TO_DESTINATION,CH
1250,TO_DESTINATION,CH
1281,TO_DESTINATION,CH
1312,TO_DESTINATION,CH
1344,TO_DESTINATION,CH
1376,TO_DESTINATION,CH
1408,TO_DESTINATION,CH
1440,TO_DESTINATION,CH
1503,TO_DESTINATION,CH
1535,TO_DESTINATION,CH
1567,TO_DESTINATION,CH
1600,TO_DESTINATION,CH
1633,TO_DESTINATION,CH
1666,TO_DESTINATION,CH
1699,TO_DESTINATION,CH
1732,TO_DESTINATION,CH
1797,TO_DESTINATION,CH
1830,TO_DESTINATION,CH
1863,TO_DESTINATION,CH
1895,TO_DESTINATION,CH
1927,TO_DESTINATION,CH
1959,TO_DESTINATION,CH
1991,TO_DESTINATION,CH
2023,TO_DESTINATION,CH
2087,TO_DESTINATION,CH
2119,TO_DESTINATION,CH
2151,TO_DESTINATION,CH
2184,TO_DESTINATION,CH
2216,TO_DESTINATION,CH
2248,TO_DESTINATION,CH
2280,TO_DESTINATION,CH
2312,TO_DESTINATION,CH
2375,TO_DESTINATION,CH
2407,TO_DESTINATION,CH
2439,TO_DESTINATION,CH
2471,TO_DESTINATION,CH
2503,TO_DESTINATION,CH
2535,TO_DESTINATION,CH
2567,TO_DESTINATION,CH
2598,TO_DESTINATION,CH
2657,TO_DESTINATION,CH
2689,TO_DESTINATION,CH
2721,TO_DESTINATION,CH
2752,TO_DESTINATION,CH
2784,TO_DESTINATION,CH
2816,TO_DESTINATION,CH
2848,TO_DESTINATION,CH
2879,TO_DESTINATION,CH
2940,TO_DESTINATION,CH
2972,TO_DESTINATION,CH
3004,TO_DESTINATION,CH
3036,TO_DESTINATION,CH
3067,TO_DESTINATION,CH
3098,TO_DESTINATION,CH
3129,TO_DESTINATION,CH
3160,TO_DESTINATION,CH
3222,TO_DESTINATION,CH
3253,TO_DESTINATION,CH
3284,TO_DESTINATION,CH
217,TO_DESTINATION,CY
246,TO_DESTINATION,CY
275,TO_DESTINATION,CY
304,TO_DESTINATION,CY
333,TO_DESTINATION,CY
391,TO_DESTINATION,CY
420,TO_DESTINATION,CY
449,TO_DESTINATION,CY
478,TO_DESTINATION,CY
509,TO_DESTINATION,CY
540,TO_DESTINATION,CY
571,TO_DESTINATION,CY
602,TO_DESTINATION,CY
664,TO_DESTINATION,CY
695,TO_DESTINATION,CY
726,TO_DESTINATION,CY
757,TO_DESTINATION,CY
788,TO_DESTINATION,CY
819,TO_DESTINATION,CY
850,TO_DESTINATION,CY
881,TO_DESTINATION,CY
942,TO_DESTINATION,CY
973,TO_DESTINATION,CY
1004,TO_DESTINATION,CY
1035,TO_DESTINATION,CY
1066,TO_DESTINATION,CY
1097,TO_DESTINATION,CY
1128,TO_DESTINATION,CY
1159,TO_DESTINATION,CY
1220,TO_DESTINATION,CY
1251,TO_DESTINATION,CY
1282,TO_DESTINATION,CY
1313,TO_DESTINATION,CY
1345,TO_DESTINATION,CY
1377,TO_DESTINATION,CY
1409,TO_DESTINATION,CY
1441,TO_DESTINATION,CY
1504,TO_DESTINATION,CY
1536,TO_DESTINATION,CY
1568,TO_DESTINATION,CY
1601,TO_DESTINATION,CY
