head,relation,tail
365,HAS_EXPENDITURE,ACCOM
366,HAS_EXPENDITURE,ACCOM
367,HAS_EXPENDITURE,ACCOM
368,HAS_EXPENDITURE,ACCOM
369,HAS_EXPENDITURE,ACCOM
370,HAS_EXPENDITURE,ACCOM
371,HAS_EXPENDITURE,ACCOM
372,HAS_EXPENDITURE,ACCOM
373,HAS_EXPENDITURE,ACCOM
374,HAS_EXPENDITURE,ACCOM
375,HAS_EXPENDITURE,ACCOM
376,HAS_EXPENDITURE,ACCOM
377,HAS_EXPENDITURE,ACCOM
378,HAS_EXPENDITURE,ACCOM
379,HAS_EXPENDITURE,ACCOM
380,HAS_EXPENDITURE,ACCOM
381,HAS_EXPENDITURE,ACCOM
382,HAS_EXPENDITURE,ACCOM
383,HAS_EXPENDITURE,ACCOM
384,HAS_EXPENDITURE,ACCOM
385,HAS_EXPENDITURE,ACCOM
386,HAS_EXPENDITURE,ACCOM
387,HAS_EXPENDITURE,ACCOM
388,HAS_EXPENDITURE,ACCOM
389,HAS_EXPENDITURE,ACCOM
390,HAS_EXPENDITURE,ACCOM
391,HAS_EXPENDITURE,ACCOM
392,HAS_EXPENDITURE,ACCOM
393,HAS_EXPENDITURE,ACCOM
394,HAS_EXPENDITURE,ACCOM
395,HAS_EXPENDITURE,ACCOM
396,HAS_EXPENDITURE,ACCOM
397,HAS_EXPENDITURE,ACCOM
398,HAS_EXPENDITURE,ACCOM
399,HAS_EXPENDITURE,ACCOM
400,HAS_EXPENDITURE,ACCOM
401,HAS_EXPENDITURE,ACCOM
402,HAS_EXPENDITURE,ACCOM
403,HAS_EXPENDITURE,ACCOM
404,HAS_EXPENDITURE,ACCOM
405,HAS_EXPENDITURE,ACCOM
406,HAS_EXPENDITURE,ACCOM
407,HAS_EXPENDITURE,ACCOM
408,HAS_EXPENDITURE,ACCOM
409,HAS_EXPENDITURE,ACCOM
410,HAS_EXPENDITURE,ACCOM
411,HAS_EXPENDITURE,ACCOM
412,HAS_EXPENDITURE,ACCOM
413,HAS_EXPENDITURE,ACCOM
414,HAS_EXPENDITURE,ACCOM
415,HAS_EXPENDITURE,ACCOM
416,HAS_EXPENDITURE,ACCOM
417,HAS_EXPENDITURE,ACCOM
418,HAS_EXPENDITURE,ACCOM
419,HAS_EXPENDITURE,ACCOM
420,HAS_EXPENDITURE,ACCOM
421,HAS_EXPENDITURE,ACCOM
422,HAS_EXPENDITURE,ACCOM
423,HAS_EXPENDITURE,ACCOM
424,HAS_EXPENDITURE,ACCOM
425,HAS_EXPENDITURE,ACCOM
426,HAS_EXPENDITURE,ACCOM
427,HAS_EXPENDITURE,ACCOM
428,HAS_EXPENDITURE,ACCOM
429,HAS_EXPENDITURE,ACCOM
430,HAS_EXPENDITURE,ACCOM
431,HAS_EXPENDITURE,ACCOM
432,HAS_EXPENDITURE,ACCOM
433,HAS_EXPENDITURE,ACCOM
434,HAS_EXPENDITURE,ACCOM
435,HAS_EXPENDITURE,ACCOM
436,HAS_EXPENDITURE,ACCOM
437,HAS_EXPENDITURE,ACCOM
438,HAS_EXPENDITURE,ACCOM
439,HAS_EXPENDITURE,ACCOM
440,HAS_EXPENDITURE,ACCOM
441,HAS_EXPENDITURE,ACCOM
442,HAS_EXPENDITURE,ACCOM
443,HAS_EXPENDITURE,ACCOM
444,HAS_EXPENDITURE,ACCOM
445,HAS_EXPENDITURE,ACCOM
446,HAS_EXPENDITURE,ACCOM
447,HAS_EXPENDITURE,ACCOM
448,HAS_EXPENDITURE,ACCOM
449,HAS_EXPENDITURE,ACCOM
450,HAS_EXPENDITURE,ACCOM
451,HAS_EXPENDITURE,ACCOM
452,HAS_EXPENDITURE,ACCOM
453,HAS_EXPENDITURE,ACCOM
454,HAS_EXPENDITURE,ACCOM
455,HAS_EXPENDITURE,ACCOM
456,HAS_EXPENDITURE,ACCOM
457,HAS_EXPENDITURE,ACCOM
458,HAS_EXPENDITURE,ACCOM
459,HAS_EXPENDITURE,ACCOM
460,HAS_EXPENDITURE,ACCOM
461,HAS_EXPENDITURE,ACCOM
462,HAS_EXPENDITURE,ACCOM
463,HAS_EXPENDITURE,ACCOM
464,HAS_EXPENDITURE,ACCOM
465,HAS_EXPENDITURE,ACCOM
466,HAS_EXPENDITURE,ACCOM
467,HAS_EXPENDITURE,ACCOM
468,HAS_EXPENDITURE,ACCOM
469,HAS_EXPENDITURE,ACCOM
470,HAS_EXPENDITURE,ACCOM
471,HAS_EXPENDITURE,ACCOM
472,HAS_EXPENDITURE,ACCOM
473,HAS_EXPENDITURE,ACCOM
474,HAS_EXPENDITURE,ACCOM
475,HAS_EXPENDITURE,ACCOM
476,HAS_EXPENDITURE,ACCOM
477,HAS_EXPENDITURE,ACCOM
478,HAS_EXPENDITURE,ACCOM
479,HAS_EXPENDITURE,ACCOM
480,HAS_EXPENDITURE,ACCOM
481,HAS_EXPENDITURE,ACCOM
482,HAS_EXPENDITURE,ACCOM
483,HAS_EXPENDITURE,ACCOM
484,HAS_EXPENDITURE,ACCOM
485,HAS_EXPENDITURE,ACCOM
486,HAS_EXPENDITURE,ACCOM
487,HAS_EXPENDITURE,ACCOM
488,HAS_EXPENDITURE,ACCOM
489,HAS_EXPENDITURE,ACCOM
490,HAS_EXPENDITURE,ACCOM
491,HAS_EXPENDITURE,ACCOM
492,HAS_EXPENDITURE,ACCOM
493,HAS_EXPENDITURE,ACCOM
494,HAS_EXPENDITURE,ACCOM
495,HAS_EXPENDITURE,ACCOM
496,HAS_EXPENDITURE,ACCOM
497,HAS_EXPENDITURE,ACCOM
498,HAS_EXPENDITURE,ACCOM
499,HAS_EXPENDITURE,ACCOM
500,HAS_EXPENDITURE,ACCOM
501,HAS_EXPENDITURE,ACCOM
502,HAS_EXPENDITURE,ACCOM
503,HAS_EXPENDITURE,ACCOM
504,HAS_EXPENDITURE,ACCOM
505,HAS_EXPENDITURE,ACCOM
506,HAS_EXPENDITURE,ACCOM
507,HAS_EXPENDITURE,ACCOM
508,HAS_EXPENDITURE,ACCOM
509,HAS_EXPENDITURE,ACCOM
510,HAS_EXPENDITURE,ACCOM
511,HAS_EXPENDITURE,ACCOM
512,HAS_EXPENDITURE,ACCOM
513,HAS_EXPENDITURE,ACCOM
514,HAS_EXPENDITURE,ACCOM
515,HAS_EXPENDITURE,ACCOM
516,HAS_EXPENDITURE,ACCOM
517,HAS_EXPENDITURE,ACCOM
518,HAS_EXPENDITURE,ACCOM
519,HAS_EXPENDITURE,ACCOM
520,HAS_EXPENDITURE,ACCOM
521,HAS_EXPENDITURE,ACCOM
522,HAS_EXPENDITURE,ACCOM
523,HAS_EXPENDITURE,ACCOM
524,HAS_EXPENDITURE,ACCOM
525,HAS_EXPENDITURE,ACCOM
526,HAS_EXPENDITURE,ACCOM
527,HAS_EXPENDITURE,ACCOM
528,HAS_EXPENDITURE,ACCOM
529,HAS_EXPENDITURE,ACCOM
530,HAS_EXPENDITURE,ACCOM
531,HAS_EXPENDITURE,ACCOM
532,HAS_EXPENDITURE,ACCOM
533,HAS_EXPENDITURE,ACCOM
534,HAS_EXPENDITURE,ACCOM
535,HAS_EXPENDITURE,ACCOM
536,HAS_EXPENDITURE,ACCOM
537,HAS_EXPENDITURE,ACCOM
538,HAS_EXPENDITURE,ACCOM
539,HAS_EXPENDITURE,ACCOM
540,HAS_EXPENDITURE,ACCOM
541,HAS_EXPENDITURE,ACCOM
542,HAS_EXPENDITURE,ACCOM
543,HAS_EXPENDITURE,ACCOM
544,HAS_EXPENDITURE,ACCOM
545,HAS_EXPENDITURE,ACCOM
546,HAS_EXPENDITURE,ACCOM
547,HAS_EXPENDITURE,ACCOM
548,HAS_EXPENDITURE,ACCOM
549,HAS_EXPENDITURE,ACCOM
550,HAS_EXPENDITURE,ACCOM
551,HAS_EXPENDITURE,ACCOM
552,HAS_EXPENDITURE,ACCOM
553,HAS_EXPENDITURE,ACCOM
554,HAS_EXPENDITURE,ACCOM
555,HAS_EXPENDITURE,ACCOM
556,HAS_EXPENDITURE,ACCOM
557,HAS_EXPENDITURE,ACCOM
558,HAS_EXPENDITURE,ACCOM
559,HAS_EXPENDITURE,ACCOM
560,HAS_EXPENDITURE,ACCOM
561,HAS_EXPENDITURE,ACCOM
562,HAS_EXPENDITURE,ACCOM
563,HAS_EXPENDITURE,ACCOM
564,HAS_EXPENDITURE,ACCOM
565,HAS_EXPENDITURE,ACCOM
566,HAS_EXPENDITURE,ACCOM
567,HAS_EXPENDITURE,ACCOM
568,HAS_EXPENDITURE,ACCOM
569,HAS_EXPENDITURE,ACCOM
570,HAS_EXPENDITURE,ACCOM
571,HAS_EXPENDITURE,ACCOM
572,HAS_EXPENDITURE,ACCOM
573,HAS_EXPENDITURE,ACCOM
574,HAS_EXPENDITURE,ACCOM
575,HAS_EXPENDITURE,ACCOM
576,HAS_EXPENDITURE,ACCOM
577,HAS_EXPENDITURE,ACCOM
578,HAS_EXPENDITURE,ACCOM
579,HAS_EXPENDITURE,ACCOM
580,HAS_EXPENDITURE,ACCOM
581,HAS_EXPENDITURE,ACCOM
582,HAS_EXPENDITURE,ACCOM
583,HAS_EXPENDITURE,ACCOM
584,HAS_EXPENDITURE,ACCOM
585,HAS_EXPENDITURE,ACCOM
586,HAS_EXPENDITURE,ACCOM
587,HAS_EXPENDITURE,ACCOM
588,HAS_EXPENDITURE,ACCOM
589,HAS_EXPENDITURE,ACCOM
590,HAS_EXPENDITURE,ACCOM
591,HAS_EXPENDITURE,ACCOM
592,HAS_EXPENDITURE,ACCOM
593,HAS_EXPENDITURE,ACCOM
594,HAS_EXPENDITURE,ACCOM
595,HAS_EXPENDITURE,ACCOM
596,HAS_EXPENDITURE,ACCOM
597,HAS_EXPENDITURE,ACCOM
598,HAS_EXPENDITURE,ACCOM
599,HAS_EXPENDITURE,ACCOM
600,HAS_EXPENDITURE,ACCOM
601,HAS_EXPENDITURE,ACCOM
602,HAS_EXPENDITURE,ACCOM
603,HAS_EXPENDITURE,ACCOM
604,HAS_EXPENDITURE,ACCOM
605,HAS_EXPENDITURE,ACCOM
606,HAS_EXPENDITURE,ACCOM
607,HAS_EXPENDITURE,ACCOM
608,HAS_EXPENDITURE,ACCOM
609,HAS_EXPENDITURE,ACCOM
610,HAS_EXPENDITURE,ACCOM
611,HAS_EXPENDITURE,ACCOM
612,HAS_EXPENDITURE,ACCOM
613,HAS_EXPENDITURE,ACCOM
614,HAS_EXPENDITURE,ACCOM
615,HAS_EXPENDITURE,ACCOM
616,HAS_EXPENDITURE,ACCOM
617,HAS_EXPENDITURE,ACCOM
618,HAS_EXPENDITURE,ACCOM
619,HAS_EXPENDITURE,ACCOM
620,HAS_EXPENDITURE,ACCOM
621,HAS_EXPENDITURE,ACCOM
622,HAS_EXPENDITURE,ACCOM
623,HAS_EXPENDITURE,ACCOM
624,HAS_EXPENDITURE,ACCOM
625,HAS_EXPENDITURE,ACCOM
626,HAS_EXPENDITURE,ACCOM
627,HAS_EXPENDITURE,ACCOM
628,HAS_EXPENDITURE,ACCOM
629,HAS_EXPENDITURE,ACCOM
630,HAS_EXPENDITURE,ACCOM
631,HAS_EXPENDITURE,ACCOM
632,HAS_EXPENDITURE,ACCOM
633,HAS_EXPENDITURE,ACCOM
634,HAS_EXPENDITURE,ACCOM
635,HAS_EXPENDITURE,ACCOM
636,HAS_EXPENDITURE,ACCOM
637,HAS_EXPENDITURE,ACCOM
638,HAS_EXPENDITURE,ACCOM
639,HAS_EXPENDITURE,ACCOM
640,HAS_EXPENDITURE,ACCOM
641,HAS_EXPENDITURE,ACCOM
642,HAS_EXPENDITURE,ACCOM
643,HAS_EXPENDITURE,ACCOM
644,HAS_EXPENDITURE,ACCOM
645,HAS_EXPENDITURE,ACCOM
646,HAS_EXPENDITURE,ACCOM
647,HAS_EXPENDITURE,ACCOM
648,HAS_EXPENDITURE,ACCOM
649,HAS_EXPENDITURE,ACCOM
650,HAS_EXPENDITURE,ACCOM
651,HAS_EXPENDITURE,ACCOM
652,HAS_EXPENDITURE,ACCOM
653,HAS_EXPENDITURE,ACCOM
654,HAS_EXPENDITURE,ACCOM
655,HAS_EXPENDITURE,ACCOM
656,HAS_EXPENDITURE,ACCOM
657,HAS_EXPENDITURE,ACCOM
658,HAS_EXPENDITURE,ACCOM
659,HAS_EXPENDITURE,ACCOM
660,HAS_EXPENDITURE,ACCOM
661,HAS_EXPENDITURE,ACCOM
662,HAS_EXPENDITURE,ACCOM
663,HAS_EXPENDITURE,ACCOM
664,HAS_EXPENDITURE,ACCOM
665,HAS_EXPENDITURE,ACCOM
666,HAS_EXPENDITURE,ACCOM
667,HAS_EXPENDITURE,ACCOM
668,HAS_EXPENDITURE,ACCOM
669,HAS_EXPENDITURE,ACCOM
670,HAS_EXPENDITURE,ACCOM
671,HAS_EXPENDITURE,ACCOM
672,HAS_EXPENDITURE,ACCOM
673,HAS_EXPENDITURE,ACCOM
674,HAS_EXPENDITURE,ACCOM
675,HAS_EXPENDITURE,ACCOM
676,HAS_EXPENDITURE,ACCOM
677,HAS_EXPENDITURE,ACCOM
678,HAS_EXPENDITURE,ACCOM
679,HAS_EXPENDITURE,ACCOM
680,HAS_EXPENDITURE,ACCOM
681,HAS_EXPENDITURE,ACCOM
682,HAS_EXPENDITURE,ACCOM
683,HAS_EXPENDITURE,ACCOM
684,HAS_EXPENDITURE,ACCOM
685,HAS_EXPENDITURE,ACCOM
686,HAS_EXPENDITURE,ACCOM
687,HAS_EXPENDITURE,ACCOM
688,HAS_EXPENDITURE,ACCOM
689,HAS_EXPENDITURE,ACCOM
