node_id,labels,props
138,[Destination],"{
  geo: AL,
  c_dest: WORLD
}"
139,[Destination],"{
  geo: RS,
  c_dest: DOM
}"
140,[Destination],"{
  geo: RS,
  c_dest: FOR
}"
141,[Destination],"{
  geo: RS,
  c_dest: WORLD
}"
142,[Destination],"{
  geo: MK,
  c_dest: DOM
}"
143,[Destination],"{
  geo: MK,
  c_dest: FOR
}"
144,[Destination],"{
  geo: MK,
  c_dest: WORLD
}"
145,[Destination],"{
  geo: AL,
  c_dest: EU27_2020_FOR
}"
146,[Destination],"{
  geo: AT,
  c_dest: EU27_2020_FOR
}"
147,[Destination],"{
  geo: BE,
  c_dest: EU27_2020_FOR
}"
148,[Destination],"{
  geo: BG,
  c_dest: EU27_2020_FOR
}"
149,[Destination],"{
  geo: CH,
  c_dest: EU27_2020_FOR
}"
150,[Destination],"{
  geo: CY,
  c_dest: EU27_2020_FOR
}"
151,[Destination],"{
  geo: CZ,
  c_dest: EU27_2020_FOR
}"
152,[Destination],"{
  geo: DE,
  c_dest: EU27_2020_FOR
}"
153,[Destination],"{
  geo: DK,
  c_dest: EU27_2020_FOR
}"
154,[Destination],"{
  geo: EA20,
  c_dest: EU27_2020_FOR
}"
155,[Destination],"{
  geo: EE,
  c_dest: EU27_2020_FOR
}"
156,[Destination],"{
  geo: EL,
  c_dest: EU27_2020_FOR
}"
157,[Destination],"{
  geo: ES,
  c_dest: EU27_2020_FOR
}"
158,[Destination],"{
  geo: EU27_2020,
  c_dest: EU27_2020_FOR
}"
159,[Destination],"{
  geo: FI,
  c_dest: EU27_2020_FOR
}"
160,[Destination],"{
  geo: FR,
  c_dest: EU27_2020_FOR
}"
161,[Destination],"{
  geo: HR,
  c_dest: EU27_2020_FOR
}"
162,[Destination],"{
  geo: HU,
  c_dest: EU27_2020_FOR
}"
163,[Destination],"{
  geo: IE,
  c_dest: EU27_2020_FOR
}"
164,[Destination],"{
  geo: IT,
  c_dest: EU27_2020_FOR
}"
165,[Destination],"{
  geo: LT,
  c_dest: EU27_2020_FOR
}"
166,[Destination],"{
  geo: LU,
  c_dest: EU27_2020_FOR
}"
167,[Destination],"{
  geo: LV,
  c_dest: EU27_2020_FOR
}"
168,[Destination],"{
  geo: MT,
  c_dest: EU27_2020_FOR
}"
169,[Destination],"{
  geo: NL,
  c_dest: EU27_2020_FOR
}"
170,[Destination],"{
  geo: PL,
  c_dest: EU27_2020_FOR
}"
171,[Destination],"{
  geo: PT,
  c_dest: EU27_2020_FOR
}"
172,[Destination],"{
  geo: RO,
  c_dest: EU27_2020_FOR
}"
173,[Destination],"{
  geo: SE,
  c_dest: EU27_2020_FOR
}"
174,[Destination],"{
  geo: SI,
  c_dest: EU27_2020_FOR
}"
175,[Destination],"{
  geo: SK,
  c_dest: EU27_2020_FOR
}"
176,[Destination],"{
  geo: AL,
  c_dest: NEU27_2020_FOR
}"
177,[Destination],"{
  geo: AT,
  c_dest: NEU27_2020_FOR
}"
178,[Destination],"{
  geo: BE,
  c_dest: NEU27_2020_FOR
}"
179,[Destination],"{
  geo: DE,
  c_dest: NEU27_2020_FOR
}"
180,[Destination],"{
  geo: DK,
  c_dest: NEU27_2020_FOR
}"
181,[Destination],"{
  geo: EA20,
  c_dest: NEU27_2020_FOR
}"
182,[Destination],"{
  geo: EE,
  c_dest: NEU27_2020_FOR
}"
183,[Destination],"{
  geo: EL,
  c_dest: NEU27_2020_FOR
}"
184,[Destination],"{
  geo: ES,
  c_dest: NEU27_2020_FOR
}"
185,[Destination],"{
  geo: EU27_2020,
  c_dest: NEU27_2020_FOR
}"
186,[Destination],"{
  geo: FR,
  c_dest: NEU27_2020_FOR
}"
187,[Destination],"{
  geo: HR,
  c_dest: NEU27_2020_FOR
}"
188,[Destination],"{
  geo: HU,
  c_dest: NEU27_2020_FOR
}"
189,[Destination],"{
  geo: IE,
  c_dest: NEU27_2020_FOR
}"
190,[Destination],"{
  geo: LT,
  c_dest: NEU27_2020_FOR
}"
191,[Destination],"{
  geo: LU,
  c_dest: NEU27_2020_FOR
}"
192,[Destination],"{
  geo: MK,
  c_dest: NEU27_2020_FOR
}"
193,[Destination],"{
  geo: MT,
  c_dest: NEU27_2020_FOR
}"
194,[Destination],"{
  geo: NL,
  c_dest: NEU27_2020_FOR
}"
195,[Destination],"{
  geo: PL,
  c_dest: NEU27_2020_FOR
}"
196,[Destination],"{
  geo: PT,
  c_dest: NEU27_2020_FOR
}"
197,[Destination],"{
  geo: SE,
  c_dest: NEU27_2020_FOR
}"
198,[Destination],"{
  geo: MK,
  c_dest: EU27_2020_FOR
}"
199,[Destination],"{
  geo: BG,
  c_dest: NEU27_2020_FOR
}"
200,[Destination],"{
  geo: CH,
  c_dest: NEU27_2020_FOR
}"
201,[Destination],"{
  geo: CY,
  c_dest: NEU27_2020_FOR
}"
202,[Destination],"{
  geo: CZ,
  c_dest: NEU27_2020_FOR
}"
203,[Destination],"{
  geo: FI,
  c_dest: NEU27_2020_FOR
}"
204,[Destination],"{
  geo: IT,
  c_dest: NEU27_2020_FOR
}"
205,[Destination],"{
  geo: LV,
  c_dest: NEU27_2020_FOR
}"
206,[Destination],"{
  geo: RO,
  c_dest: NEU27_2020_FOR
}"
207,[Destination],"{
  geo: SI,
  c_dest: NEU27_2020_FOR
}"
208,[Destination],"{
  geo: SK,
  c_dest: NEU27_2020_FOR
}"
209,[Destination],"{
  geo: NO,
  c_dest: EU27_2020_FOR
}"
210,[Destination],"{
  geo: NO,
  c_dest: NEU27_2020_FOR
}"
213,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
214,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
215,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
